,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.008,2002-05-14,2002-03,19.11,1221224000,3.1914,2.9994,3849000000,2.993,-0.3913,0.097,0.0188,-0.221,0.6944,0.1229,0.1055,0.3923,0.3106,0.0,0.0,538000000,0.254,0.0894,0.4183,22964590640,5.9663,23.0568,17.9691,14.4613,0.9769,21.0684,0.0857,0.4375,0.3133,242000000,-0.0044,-0.3681,0.0402,0.0646,0.1881,0.2624,0.2386,0.1484,0.3558,23337590640,63000000,0.3915,0.049,361500000,0.3205,0.0624,0.3748,0.0801,0.0347,2.7316,1.8674,0.3391,0.3561,0.0761,0.061,6.0632,23.4313,18.261,14.6962,0.9928,21.4106,0.0206,0.0586,4.6757,0.0804,0.0687,0.2491,0.2573,0.2038,0.1838,0.086097248473164,0.2538,0.1555,0.488,-0.0316,-13280000,-0.0107,0.8475,1090000000,0.023,0.082,-0.003,0.0177,FY2002.FQ1,1
1,0.0,2002-08-13,2002-06,22.89,1209596000,3.2248,3.0966,3981000000,3.1053,0.296,0.2656,0.0293,0.3173,0.7212,0.1191,0.1128,0.3843,0.3521,0.0,-1.0,11633000000,24.9665,1.9139,9.0741,27082652440,6.8029,24.6654,18.3735,15.6456,1.1393,23.6529,0.0838,0.5,0.31,572000000,0.0245,0.5212,0.0941,0.0646,0.4461,1.0,0.2386,3.2832,0.3538,27687652440,-166000000,0.4573,0.0534,8724750000,29.2942,0.0624,9.0741,1.9139,0.0,3.0078,1.6383,0.3972,0.3923,0.0827,0.0618,6.9549,25.2164,18.784,15.9951,1.1647,24.1813,0.0198,0.0455,4.741,0.0874,0.0705,2.2165,0.2804,0.2157,0.202,0.086097248473164,0.2841,0.1631,4.3474,-0.0201,-11628000,-0.0095,0.8931,1145000000,0.0225,0.1036,0.003,0.1082,FY2002.FQ2,2
2,0.0,2002-11-14,2002-09,21.81,1208964000,3.143,3.1672,4361000000,3.4589,0.3577,-0.3009,0.0563,0.2485,0.6444,0.1221,0.1176,0.3838,0.3801,0.0,0.0,638000000,0.3779,0.1021,0.506,26086504840,5.9817,21.3823,15.8677,13.6865,1.0834,27.2586,0.0805,0.573,0.3181,554000000,0.0574,0.4427,0.0886,0.065,0.4394,0.2782,0.243,0.1775,0.3558,26367504840,608000000,0.5281,0.0565,429000000,0.4444,0.0651,0.4536,0.0915,0.0,2.6821,1.4677,0.4691,0.4346,0.0877,0.0623,6.0462,21.6127,16.0386,13.8339,1.0951,27.5522,0.0205,0.0515,4.9547,0.0919,0.0728,2.0901,0.2924,0.232,0.2113,0.086097248473164,0.2777,0.1699,4.2515,-0.0268,-632000,-0.0005,0.759,957000000,0.0304,0.1326,0.0176,0.1738,FY2002.FQ3,3
3,0.0,2003-03-19,2002-12,20.88,1197832000,3.1987,3.1951,4428000000,3.5391,-0.4588,-0.2662,0.0717,1.1052,0.6174,0.1243,0.119,0.3976,0.384,0.0,0.0,460000000,1.1904,0.0711,0.3676,24129732160,5.4493,17.8474,12.0407,11.5122,0.9729,25.5882,0.0917,0.5699,0.3126,636000000,0.0643,1.3043,0.0984,0.066,0.5083,0.2525,0.2462,0.2952,0.3543,25010732160,631000000,0.5344,0.0586,291750000,1.7785,0.0651,0.3109,0.0601,0.0,2.0171,0.1275,0.4785,0.4691,0.0908,0.0659,5.6483,18.499,12.4804,11.9326,1.0084,26.5225,0.0215,0.1259,5.1649,0.097,0.074,2.007,0.3076,0.2399,0.2212,0.086097248473164,0.2696,0.1726,4.2585,-0.0252,-11132000,-0.0092,0.7537,943000000,0.0322,0.1343,0.0178,0.138,FY2002.FQ4,4
4,0.008,2003-05-15,2003-03,22.92,1185316000,3.2504,3.2038,4444000000,3.5666,0.2812,0.2453,0.1261,0.9594,0.6569,0.1247,0.1206,0.4054,0.3859,0.0,0.0,726000000,0.3494,0.104,0.5826,26527442720,5.9692,18.1694,11.0761,11.6964,1.0297,27.6904,0.0918,0.413,0.3076,633000000,0.1453,1.6157,0.0907,0.0755,0.508,0.2759,0.2504,0.2198,0.3603,27167442720,0,0.3661,0.0577,489750000,0.3547,0.0663,0.524,0.0936,0.0246,2.0263,0.0871,0.3755,0.5056,0.0903,0.0726,6.1132,18.6078,11.3433,11.9785,1.0545,28.3584,0.0265,0.1599,5.5979,0.102,0.0773,1.9963,0.3291,0.2487,0.2348,0.086097248473164,0.3072,0.1786,4.2053,-0.0311,-12516000,-0.0104,0.7688,958000000,0.0327,0.1759,0.0196,0.1545,FY2003.FQ1,1
5,0.0,2003-08-13,2003-06,25.13,1180000000,3.1752,3.2038,4673000000,3.7807,-0.0113,0.3284,0.0327,0.159,0.6926,0.1179,0.1206,0.3744,0.3859,0.0,-1.0,783000000,-0.9326,0.1104,0.6334,28569400000,6.1137,18.1508,11.4323,11.6609,1.0671,25.395,0.0843,0.3921,0.3149,676000000,0.0403,0.1818,0.0953,0.078,0.5469,0.2791,0.2574,-0.6745,0.3591,29653400000,-503000000,0.3507,0.0619,531750000,-0.939,0.0734,0.5736,0.1,0.0,2.2343,0.0758,0.3618,0.5542,0.0966,0.0794,6.3456,18.8395,11.8661,12.1034,1.1076,26.3585,0.0269,0.166,5.7338,0.1075,0.0839,0.3438,0.3452,0.2689,0.2484,0.086097248473164,0.3654,0.1929,0.7171,-0.0358,-5316000,-0.0044,0.9101,1125000000,0.0298,0.1557,0.0239,0.1738,FY2003.FQ2,2
6,0.0,2003-11-14,2003-09,25.16,1168000000,3.1399,3.2038,4746000000,3.846,-0.2658,0.939,0.0307,0.0157,0.6987,0.1174,0.1206,0.3687,0.3859,0.0,0.0,838000000,0.3134,0.1157,0.679,28346880000,5.9727,16.7041,11.3934,10.7333,1.021,23.9618,0.0917,0.375,0.3184,543000000,0.0355,-0.0198,0.075,0.0818,0.44,0.2851,0.2692,0.1875,0.3558,29386880000,-317000000,0.3484,0.0657,572250000,0.3339,0.0858,0.6183,0.1054,0.0,1.8868,0.1036,0.3485,0.5988,0.1021,0.0852,6.1919,17.3169,11.8114,11.1271,1.0585,24.8409,0.0245,0.1586,5.8654,0.1141,0.0896,0.3635,0.3603,0.2864,0.2627,0.086097248473164,0.3946,0.2066,0.7483,-0.0212,-12000000,-0.0101,0.9586,1183000000,0.0275,0.0871,0.0229,0.0882,FY2003.FQ3,3
7,0.0,2004-03-15,2003-12,29.09,1166000000,3.3743,3.2038,5236000000,4.2907,0.4274,-1.0,0.0567,0.1447,0.0,0.0,0.1206,0.0,0.3859,0.0,0.0,27648000000,59.1043,3.2929,22.6567,33918940000,6.478,20.4948,12.7947,11.9432,1.1422,6.478,0.0492,-0.0924,0.2963,799000000,0.0782,0.2562,0.0951,0.0897,0.6547,0.2245,0.2692,0.155,0.3549,33918940000,0,-0.1108,0.0401,20678250000,69.8766,0.0925,22.5936,3.2838,0.0,4.1594,-1.0,0.339,0.6441,0.0936,0.089,6.478,20.4948,12.7947,11.9432,1.1422,6.478,0.0374,0.2992,6.8802,0.1016,0.0944,2.4083,0.3315,0.3,0.2821,0.086097248473164,0.3424,0.2162,2.815,-0.0246,-2000000,-0.0017,4.2907,5236000000,0.0426,0.2473,0.0384,0.1824,FY2003.FQ4,4
8,0.015,2004-05-07,2004-03,32.25,1228000000,2.8852,3.1951,7227000000,5.7357,0.0978,0.5061,0.0602,0.2551,0.7051,0.115,0.1206,0.332,0.384,0.0,0.0,958000000,0.3195,0.1176,0.7603,38923000000,5.3857,21.552,13.6811,12.7116,1.261,31.1384,0.0947,0.3538,0.3465,827000000,0.0797,0.3064,0.1015,0.0924,0.6563,0.2793,0.277,0.1818,0.3497,39603000000,-314000000,0.3746,0.068,657000000,0.3415,0.0968,0.6952,0.1075,0.034,2.315,0.142,0.3523,0.6761,0.1046,0.0905,5.4798,21.9285,13.9202,12.9337,1.2831,31.6824,0.032,0.1675,6.4634,0.0937,0.0953,2.0262,0.2898,0.3,0.243,0.086097248473164,0.2973,0.228,2.5404,0.0112,62000000,0.0531,0.992,1250000000,0.0559,0.4435,0.0688,0.6262,FY2004.FQ1,1
9,0.0,2004-08-09,2004-06,31.13,1214000000,2.9338,3.1833,7118000000,5.574,0.146,0.3759,0.1091,0.3294,0.7498,0.1149,0.1185,0.3371,0.3791,0.0,-1.0,1032000000,0.318,0.1185,0.8081,36532820000,5.1324,18.6107,11.7468,11.0907,1.1247,32.9421,0.093,0.3239,0.3408,941000000,0.1304,0.392,0.1081,0.0946,0.7368,0.2732,0.277,0.2022,0.35,37791820000,-700000000,0.3576,0.0684,708750000,0.3328,0.1027,0.74,0.1085,0.0,2.0682,0.1216,0.3386,0.718,0.1053,0.0922,5.3093,19.252,12.1517,11.4729,1.1634,34.0773,0.0425,0.2281,6.8159,0.094,0.0955,2.5637,0.2736,0.3,0.205,0.086097248473164,0.2945,0.228,5.227,0.0331,-14000000,-0.0114,0.8684,1109000000,0.0527,0.4073,0.0622,0.5232,FY2004.FQ2,2
