,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.008,2002-05-14,2002-03,19.11,1221224000,4435000000,56000000,0.24,0.23,1578000000,0,-163000000,0,0,295000000,295000000,295000000,0,0,482000000,0,-24000000,1096000000,0,458000000,6013000000,0,0,1229600000,1286000000,0,1096000000,FY2002.FQ1,1
1,0.0,2002-08-13,2002-06,22.89,1209596000,0,0,0.26,0.25,6078000000,0,-178000000,0,0,325000000,325000000,325000000,0,0,11633000000,0,-11130000000,-5555000000,0,503000000,6078000000,0,0,1220000000,1282000000,0,-5555000000,FY2002.FQ2,2
2,0.0,2002-11-14,2002-09,21.81,1208964000,4509000000,66000000,0.29,0.28,1738000000,0,-195000000,0,0,353000000,353000000,353000000,0,0,572000000,0,-24000000,1166000000,0,548000000,6247000000,0,0,1200400000,1260800000,0,1166000000,FY2002.FQ3,3
3,0.0,2003-03-19,2002-12,20.88,1197832000,4830000000,71000000,0.31,0.3,1632000000,0,-208000000,0,0,379000000,379000000,379000000,0,0,389000000,0,198000000,1243000000,0,587000000,6462000000,0,0,1208000000,1251134000,0,1243000000,FY2002.FQ4,4
4,0.008,2003-05-15,2003-03,22.92,1185316000,5050000000,73000000,0.34,0.32,1925000000,0,-227000000,0,0,403000000,403000000,403000000,0,0,653000000,0,-23000000,1272000000,0,630000000,6975000000,0,0,1194000000,1246000000,0,1272000000,FY2003.FQ1,1
5,0.0,2003-08-13,2003-06,25.13,1180000000,5109000000,74000000,0.37,0.35,1978000000,0,-246000000,0,0,439000000,439000000,439000000,0,0,709000000,0,-24000000,1269000000,0,685000000,7087000000,0,0,1180000000,1236000000,0,1269000000,FY2003.FQ2,2
6,0.0,2003-11-14,2003-09,25.16,1168000000,5174000000,75000000,0.4,0.38,2064000000,0,-263000000,0,0,476000000,476000000,476000000,0,0,763000000,0,-24000000,1301000000,0,739000000,7238000000,0,0,1178000000,1234000000,0,1301000000,FY2003.FQ3,3
7,0.0,2004-03-15,2003-12,29.09,1166000000,6511000000,77000000,0.28,0.27,1885000000,0,-279000000,0,0,337000000,337000000,507000000,0,0,27571000000,-170000000,-26785000000,-25686000000,0,786000000,8396000000,0,0,1176571000,1220299000,0,-25686000000,FY2003.FQ4,4
8,0.015,2004-05-07,2004-03,32.25,1228000000,5869000000,82000000,0.46,0.44,2275000000,0,-298000000,0,0,554000000,554000000,554000000,0,0,876000000,0,-24000000,1399000000,0,852000000,8144000000,0,0,1202000000,1260000000,0,1399000000,FY2004.FQ1,1
9,0.0,2004-08-09,2004-06,31.13,1214000000,6326000000,87000000,0.49,0.47,2378000000,0,-321000000,0,0,596000000,596000000,596000000,0,0,945000000,0,-28000000,1433000000,0,917000000,8704000000,0,0,1220000000,1277000000,0,1433000000,FY2004.FQ2,2
