,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,accounts_payable,accumulated_depreciation,aoci,apic,cash_and_equiv,common_stock,current_accrued_liabilities,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,equity_and_other_investments,goodwill,intangible_assets,inventories,lt_debt,minority_interest_liability,noncurrent_capital_leases,noncurrent_deferred_revenue,other_current_assets,other_current_liabilities,other_equity,other_lt_assets,other_lt_liabilities,pension_liabilities,ppe_gross,ppe_net,preferred_stock,receivables,retained_earnings,st_debt,st_investments,tax_payable,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,treasury_stock,fiscal_year_key,fiscal_year_number
0,0.093,2002-04-15,2002-01,19.875,13359000000,15617000000,-12868000000,-1268000000,1484000000,2161000000,445000000,7174000000,148000000,0,0,0,8566000000,0,22614000000,15687000000,0,3045000000,0,1103000000,0,0,1333000000,2411000000,0,58618000000,45750000000,0,2000000000,34441000000,3000000000,0,1343000000,83527000000,27878000000,27282000000,35102000000,48425000000,83527000000,55649000000,21143000000,0,FY2002,2002
1,0.1,2003-04-15,2003-01,15.933,13185000000,16829000000,-14726000000,-509000000,1954000000,2736000000,440000000,8857000000,176000000,0,0,0,9389000000,0,24401000000,16597000000,0,3000000000,0,2016000000,294000000,0,3323000000,3231000000,0,66100000000,51374000000,0,1569000000,37576000000,5615000000,0,748000000,94808000000,30722000000,32519000000,39461000000,55347000000,94808000000,64086000000,22828000000,0,FY2003,2003
2,0.12,2004-04-09,2004-01,17.95,12933000000,19425000000,-17357000000,851000000,2135000000,5199000000,431000000,10671000000,196000000,0,0,0,9882000000,0,26612000000,17102000000,0,2997000000,0,1356000000,0,0,2079000000,3843000000,0,76380000000,59023000000,0,1254000000,40206000000,6171000000,0,1377000000,105405000000,34421000000,37840000000,43623000000,61782000000,105405000000,70984000000,23942000000,0,FY2004,2004
3,0.173,2005-03-31,2005-01,17.467,12702000000,21987000000,-20475000000,2694000000,2425000000,5488000000,423000000,12120000000,223000000,0,0,0,10803000000,0,29762000000,20087000000,0,3171000000,0,1889000000,0,0,2379000000,4318000000,0,88593000000,68118000000,0,1715000000,43854000000,7571000000,0,1281000000,120154000000,38854000000,43182000000,49396000000,70758000000,120154000000,81300000000,27576000000,0,FY2005,2005
4,0.2,2006-03-29,2006-01,15.37,12495000000,25101000000,-23064000000,1053000000,2596000000,6193000000,417000000,13274000000,284000000,0,0,0,12097000000,0,31910000000,26429000000,0,3667000000,0,3147000000,477000000,0,4400000000,6095000000,0,100929000000,77865000000,0,2575000000,49105000000,8349000000,0,1340000000,138187000000,43825000000,48825000000,53171000000,85016000000,138187000000,94362000000,36191000000,0,FY2006,2006
5,0.223,2007-03-27,2007-01,15.897,12393000000,28484000000,-26750000000,2508000000,2834000000,7767000000,413000000,14675000000,285000000,0,0,0,13759000000,0,33685000000,27222000000,0,3513000000,0,2690000000,0,0,2406000000,7131000000,0,115190000000,88440000000,0,2840000000,55818000000,7998000000,0,706000000,151587000000,46982000000,52148000000,61573000000,90014000000,151587000000,104605000000,37866000000,0,FY2007,2007
6,0.293,2008-03-31,2008-01,16.913,11919000000,30344000000,-31125000000,3864000000,3028000000,5492000000,397000000,15725000000,316000000,0,0,0,15879000000,0,35159000000,29799000000,0,3603000000,0,3727000000,140000000,0,2748000000,7026000000,0,127992000000,96867000000,0,3642000000,57319000000,10953000000,0,1000000000,163514000000,48020000000,58478000000,64608000000,98906000000,163514000000,115494000000,40428000000,0,FY2008,2008
7,0.317,2009-04-01,2009-01,15.707,11745357000,28849000000,-35508000000,-2688000000,3920000000,7275000000,393000000,18112000000,315000000,0,0,0,15260000000,0,34511000000,31349000000,2191000000,3200000000,0,3258000000,83000000,0,3567000000,6014000000,0,131161000000,95653000000,0,3905000000,63660000000,7354000000,0,677000000,163429000000,48949000000,55390000000,67476000000,95953000000,163429000000,114480000000,40563000000,0,FY2009,2009
8,0.363,2010-03-30,2010-01,17.81,11358000000,30451000000,-41210000000,-70000000,3803000000,7907000000,378000000,18734000000,346000000,0,0,0,16126000000,0,32713000000,33231000000,2487000000,3170000000,0,3268000000,92000000,0,3942000000,5508000000,0,143517000000,102307000000,0,4144000000,66357000000,4573000000,0,1347000000,170407000000,48032000000,55543000000,72955000000,97452000000,170407000000,122375000000,41909000000,0,FY2010,2010
9,0.403,2011-03-30,2011-01,18.69,10548000000,33676000000,-46611000000,646000000,3577000000,7395000000,352000000,18701000000,336000000,0,0,0,16763000000,0,36437000000,40692000000,3113000000,3150000000,0,3091000000,47000000,0,4129000000,6682000000,0,154489000000,107878000000,0,5089000000,63967000000,5686000000,0,157000000,180782000000,52012000000,58603000000,71655000000,109127000000,180782000000,128770000000,50524000000,0,FY2011,2011
