,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.093,2002-04-15,2002-01,19.875,13359000000,-8037000000,-2978000000,-7223000000,10519000000,-211000000,107000000,0,-1214000000,-1214000000,4591000000,-628000000,-5219000000,-1249000000,113000000,0,0,0,0,0,0,0,1134000000,0,1134000000,-320000000,-8037000000,-8285000000,248000000,199000000,3228000000,140000000,-1125000000,6448000000,504000000,1536000000,0,-212000000,0,FY2002,2002
1,0.1,2003-04-15,2003-01,15.933,13185000000,-8934000000,-2370000000,-9839000000,13005000000,-199000000,597000000,0,-3383000000,-3383000000,3880000000,2403000000,-1477000000,-1328000000,-62000000,0,0,0,-749000000,-749000000,0,0,0,0,0,-156000000,-8934000000,-9245000000,311000000,582000000,3364000000,474000000,-2219000000,7818000000,767000000,2960000000,0,-159000000,0,FY2003,2003
2,0.12,2004-04-09,2004-01,17.95,12933000000,-9827000000,-5563000000,-8312000000,15996000000,320000000,2441000000,0,-5046000000,-5046000000,4787000000,941000000,-3846000000,-1569000000,111000000,0,0,0,-38000000,1462000000,1500000000,0,0,0,0,53000000,-9827000000,-10308000000,481000000,2883000000,3852000000,177000000,-1973000000,8861000000,223000000,4483000000,0,373000000,0,FY2004,2004
3,0.173,2005-03-31,2005-01,17.467,12702000000,-11878000000,-2609000000,-12351000000,15044000000,205000000,289000000,0,-4549000000,-4549000000,6376000000,4041000000,-2335000000,-2214000000,113000000,0,0,0,-315000000,-315000000,0,0,0,0,0,-158000000,-11878000000,-12803000000,925000000,-139000000,4185000000,263000000,-2515000000,10482000000,253000000,2678000000,0,-302000000,0,FY2005,2005
4,0.2,2006-03-29,2006-01,15.37,12495000000,-13488000000,-2422000000,-14186000000,18241000000,-101000000,1532000000,0,-3580000000,-3580000000,7691000000,4018000000,-3673000000,-2511000000,-349000000,0,0,0,-601000000,-601000000,0,0,0,0,0,-97000000,-13488000000,-14530000000,1042000000,1806000000,4645000000,-129000000,-1761000000,11408000000,511000000,4033000000,0,-466000000,0,FY2006,2006
5,0.223,2007-03-27,2007-01,15.897,12393000000,-15272000000,-5122000000,-14463000000,20235000000,97000000,747000000,0,-1718000000,-1718000000,7199000000,-92000000,-7291000000,-2802000000,-510000000,0,0,0,-68000000,542000000,610000000,0,0,0,0,267000000,-15272000000,-15666000000,394000000,1232000000,5459000000,89000000,-1274000000,12189000000,1266000000,2720000000,0,-214000000,0,FY2007,2007
6,0.293,2008-03-31,2008-01,16.913,11919000000,-13980000000,-7422000000,-15670000000,20642000000,252000000,-2198000000,0,-7691000000,-7691000000,13543000000,4477000000,-9066000000,-3586000000,-622000000,0,0,0,-1595000000,-1595000000,0,0,0,0,0,-95000000,-13980000000,-14937000000,957000000,560000000,6317000000,-8000000,-775000000,13269000000,504000000,1899000000,0,-564000000,0,FY2008,2008
7,0.317,2009-04-01,2009-01,15.707,11745357000,-10785000000,-9918000000,-10742000000,23147000000,-781000000,1706000000,0,-3521000000,-3521000000,6566000000,-2918000000,-9484000000,-3746000000,267000000,0,0,0,-1576000000,-738000000,838000000,0,0,0,0,781000000,-10785000000,-11499000000,714000000,1341000000,6739000000,581000000,-184000000,13734000000,752000000,1626000000,0,-101000000,0,FY2009,2009
8,0.363,2010-03-30,2010-01,17.81,11358000000,-11182000000,-14191000000,-11620000000,26249000000,194000000,632000000,0,-7276000000,-7276000000,5546000000,-1866000000,-7412000000,-4217000000,-832000000,0,0,0,0,0,0,0,0,0,0,-438000000,-11182000000,-12184000000,1002000000,4316000000,7157000000,-504000000,2213000000,14962000000,318000000,2400000000,0,-297000000,0,FY2010,2010
9,0.403,2011-03-30,2011-01,18.69,10548000000,-12210000000,-12028000000,-12193000000,23643000000,66000000,-512000000,0,-14776000000,-14776000000,11899000000,7819000000,-4080000000,-4437000000,-634000000,0,0,0,-202000000,-202000000,0,0,0,0,0,219000000,-12210000000,-12699000000,489000000,-1695000000,7641000000,651000000,-3205000000,15959000000,1087000000,2243000000,0,-733000000,0,FY2011,2011
10,0.487,2012-03-27,2012-01,20.453,10254000000,-12930000000,-8458000000,-16609000000,24255000000,-33000000,-845000000,0,-6298000000,-6298000000,8069000000,3485000000,-4584000000,-5048000000,-597000000,0,0,0,-3548000000,-3548000000,0,0,0,0,0,-131000000,-12930000000,-13510000000,580000000,-1777000000,8106000000,1050000000,-3727000000,16408000000,468000000,2746000000,0,-796000000,0,FY2012,2012
11,0.53,2013-03-26,2013-01,23.317,9942000000,-12366000000,-11946000000,-12637000000,25591000000,223000000,1231000000,0,-7600000000,-7600000000,2965000000,1487000000,-1478000000,-5361000000,-472000000,0,0,0,-316000000,-316000000,0,0,0,0,0,45000000,-12366000000,-12898000000,532000000,-1060000000,8478000000,-133000000,-2759000000,17704000000,602000000,2313000000,0,-614000000,0,FY2013,2013
12,0.627,2014-03-21,2014-01,24.893,9699000000,-12388000000,-10789000000,-12526000000,23257000000,-442000000,-500000000,0,-6683000000,-6683000000,7983000000,3015000000,-4968000000,-6139000000,-982000000,0,0,0,-15000000,-15000000,0,0,0,0,0,-123000000,-12388000000,-13115000000,727000000,-2823000000,8870000000,-279000000,-1667000000,16551000000,938000000,-590000000,0,-566000000,0,FY2014,2014
