,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.093,2002-04-15,2002-01,19.875,13359000000,2.3795,2.4558,35102000000,2.6111,-0.0359,0.052,0.2272,0.0952,1.0218,0.2601,0.2979,0.6191,0.7243,0.2084,0.1625,14807000000,0.0442,0.0719,1.1014,279036125000,7.9492,42.3295,112.4239,26.8407,1.3557,10.5153,0.1539,0.0492,0.4202,2482000000,0.0,0.3445,0.012,0.0108,0.1846,0.227,0.2153,0.0901,0.3621,265510125000,16526000000,0.0471,0.032,8684250000,0.0236,0.0584,0.8613,0.0562,0.1897,2.6156,0.1176,0.0276,0.7733,0.0505,0.0517,7.5639,40.2776,106.9742,25.5396,1.2899,10.0056,0.1671,0.0657,15.3107,0.0815,0.0876,0.2014,0.1984,0.2219,0.1194,0.094922597378536,0.1242,0.1241,0.2379,-0.0006,-51000000,-0.0038,1.9739,26536000000,0.1838,0.069,0.1751,0.1199,FY2002,2002
1,0.1,2003-04-15,2003-01,15.933,13185000000,2.4025,2.4558,39461000000,2.9585,-0.1116,0.266,0.2611,0.2363,0.9447,0.2659,0.2749,0.6389,0.6732,0.187,0.0752,16659000000,0.125,0.0719,1.2489,223937605000,5.6749,28.1505,55.008,18.1062,0.967,7.4467,0.152,0.2183,0.4162,4071000000,0.0,0.6402,0.0175,0.012,0.3052,0.23,0.2178,0.1402,0.3522,210076605000,19476000000,0.2067,0.0343,9971250000,0.1481,0.0578,0.9967,0.0574,0.1675,1.7371,0.1229,0.1896,0.9272,0.0534,0.0517,5.3236,26.4081,51.6031,16.9854,0.9071,6.9857,0.1525,0.1251,17.3621,0.0892,0.087,0.2091,0.2133,0.2167,0.1309,0.094922597378536,0.1364,0.1241,0.2435,-0.0078,-174000000,-0.013,2.2546,30072000000,0.1651,0.135,0.1624,0.1241,FY2003,2003
2,0.12,2004-04-09,2004-01,17.95,12933000000,2.4162,2.4345,43623000000,3.3251,-0.0999,0.9002,0.2197,0.2299,0.9096,0.2492,0.266,0.6022,0.629,0.1848,0.2,18877000000,0.1331,0.0729,1.4389,244050350000,5.5945,26.9549,39.5607,17.1951,0.9434,7.233,0.1503,0.1557,0.4138,6169000000,0.0,0.5153,0.0238,0.0148,0.4702,0.2316,0.2204,0.1249,0.3606,232147350000,18074000000,0.1381,0.035,11268750000,0.1301,0.0577,1.1452,0.058,0.1739,1.705,0.1488,0.1475,1.0818,0.0548,0.0517,5.3216,25.6403,37.6312,16.3564,0.8974,6.8802,0.1429,0.117,19.718,0.0904,0.087,0.2121,0.2179,0.2156,0.1345,0.094922597378536,0.1429,0.1241,0.2455,-0.0164,-252000000,-0.0191,2.5719,33741000000,0.1483,0.1117,0.1503,0.1054,FY2004,2004
3,0.173,2005-03-31,2005-01,17.467,12702000000,2.4324,2.4243,49396000000,3.8596,-0.2087,0.0555,0.1787,-0.0595,0.8997,0.2565,0.263,0.6241,0.6216,0.1997,0.4416,21485000000,0.1381,0.0755,1.6787,236464834000,4.7871,23.0315,74.6888,14.4892,0.8317,6.1271,0.152,0.1637,0.4111,3166000000,0.0,-0.4867,0.0111,0.0148,0.2473,0.2373,0.2223,0.1258,0.3424,221865834000,22170000000,0.1339,0.0361,12975000000,0.1514,0.0577,1.3517,0.0608,0.2154,1.4212,0.154,0.1498,1.2751,0.0574,0.0524,4.4915,21.6096,70.0776,13.5947,0.7803,5.7488,0.1304,0.099,22.2151,0.091,0.087,0.2186,0.2207,0.2156,0.1367,0.094922597378536,0.1472,0.1276,0.2514,-0.0244,-231000000,-0.0178,3.0155,38593000000,0.1385,0.1399,0.1452,0.1323,FY2005,2005
4,0.2,2006-03-29,2006-01,15.37,12495000000,2.5989,2.4243,53171000000,4.232,-0.1355,0.1284,0.2257,0.2125,0.8975,0.2782,0.263,0.723,0.6216,0.1974,0.156,23358000000,0.0871,0.0748,1.8591,212284150000,3.9924,18.9016,44.6631,12.1063,0.6801,5.1683,0.1625,0.112,0.3847,4753000000,0.0,0.5012,0.0152,0.0164,0.3783,0.2385,0.2248,0.1033,0.3309,192048150000,28585000000,0.0938,0.0359,14034750000,0.0816,0.0582,1.4894,0.0599,0.2239,1.0518,0.143,0.0744,1.3956,0.0561,0.053,3.6118,17.0998,40.4056,10.9522,0.6153,4.6756,0.1265,0.0977,24.8408,0.0869,0.088,0.2053,0.2189,0.2184,0.1307,0.094922597378536,0.1402,0.1308,0.2348,-0.0182,-207000000,-0.0162,3.2691,41074000000,0.1391,0.15,0.1367,0.0764,FY2006,2006
5,0.223,2007-03-27,2007-01,15.897,12393000000,2.4619,2.4426,61573000000,4.9242,-0.1322,0.2541,0.1305,0.1093,0.9009,0.2555,0.2583,0.629,0.6265,0.2034,0.115,25956000000,0.1112,0.0745,2.0758,216466521000,3.5156,19.1834,43.616,11.4121,0.6213,4.5272,0.1501,0.0111,0.4061,4963000000,0.0283,0.0441,0.0142,0.0147,0.3969,0.2422,0.2285,0.1334,0.3349,197011521000,27453000000,0.0047,0.0323,15372750000,0.0953,0.0584,1.6392,0.0588,0.2469,1.1631,0.1358,0.0817,1.5169,0.0544,0.0539,3.1996,17.4593,39.696,10.3865,0.5655,4.1203,0.1261,0.1162,27.8605,0.0778,0.088,0.1998,0.1966,0.2184,0.1175,0.094922597378536,0.1268,0.1308,0.2286,-0.0047,-102000000,-0.0081,3.8238,47814000000,0.1436,0.0969,0.1363,0.158,FY2007,2007
6,0.293,2008-03-31,2008-01,16.913,11919000000,2.5308,2.4471,64608000000,5.2888,0.0845,-0.2929,0.1122,0.0201,0.8211,0.2712,0.263,0.6865,0.6339,0.206,0.3139,28269000000,0.0891,0.0749,2.314,225893047000,3.4963,17.7435,33.9076,11.2061,0.5991,4.6357,0.149,0.155,0.3951,6662000000,0.0403,0.3423,0.0176,0.0147,0.5453,0.2463,0.2308,0.1006,0.3417,201586047000,35260000000,0.1282,0.0337,16464000000,0.0709,0.0584,1.7969,0.0582,0.2809,1.0624,0.0952,0.0627,1.6501,0.0534,0.0539,3.1201,15.8342,30.259,10.0002,0.5346,4.1368,0.1219,0.0822,30.863,0.0808,0.088,0.1965,0.2017,0.2184,0.1216,0.094922597378536,0.1299,0.1308,0.2265,-0.023,-474000000,-0.0382,3.9889,48729000000,0.1367,0.0786,0.1331,0.0492,FY2008,2008
7,0.317,2009-04-01,2009-01,15.707,11745357000,2.422,2.4471,67476000000,5.6927,0.2285,0.3246,0.1181,0.1213,0.8837,0.2563,0.263,0.6418,0.6403,0.1981,0.0819,29506000000,0.0437,0.0729,2.4893,208558322399,3.0908,15.5861,16.8709,9.9946,0.5159,3.9941,0.1309,0.0834,0.4128,12362000000,0.1238,0.8555,0.0305,0.0147,1.0429,0.2481,0.2345,0.0799,0.3418,184484322399,31428000000,0.051,0.0331,17075250000,0.0371,0.0583,1.9207,0.0563,0.2805,1.0525,-0.0125,0.0351,1.7604,0.0516,0.0539,2.734,13.787,14.9235,8.8409,0.4563,3.533,0.1124,0.0722,34.1056,0.0818,0.0858,0.1967,0.206,0.2156,0.1213,0.094922597378536,0.1288,0.1274,0.2273,-0.0297,-173643000,-0.0145,4.4052,52216000000,0.1257,-0.0005,0.1232,0.0443,FY2009,2009
8,0.363,2010-03-30,2010-01,17.81,11358000000,2.3357,2.4272,72955000000,6.2724,-0.0368,0.0868,0.1234,0.134,0.8647,0.2404,0.2583,0.5814,0.6339,0.184,0.1451,31159000000,0.056,0.0763,2.6789,227609980000,3.1198,15.8392,15.1065,10.2907,0.5577,4.0051,0.1195,0.0946,0.4281,15067000000,0.223,0.2188,0.0369,0.0164,1.2954,0.2547,0.2379,0.0365,0.3235,202285980000,29897000000,0.0739,0.0352,18001500000,0.0542,0.0583,2.0636,0.0588,0.2934,1.1778,0.0695,0.0599,1.9016,0.0541,0.0538,2.7727,14.0769,13.4257,9.1457,0.4956,3.5595,0.0935,0.0094,35.0859,0.086,0.0854,0.2044,0.2117,0.2125,0.126,0.094922597378536,0.135,0.1251,0.2359,-0.0187,-387357000,-0.0329,4.8859,56829000000,0.0925,0.0426,0.1093,0.0811,FY2010,2010
9,0.403,2011-03-30,2011-01,18.69,10548000000,2.5229,2.4272,71655000000,6.5081,-0.0919,-0.0647,0.0942,-0.0992,0.8875,0.2739,0.2583,0.7225,0.6339,0.1754,0.1101,33183000000,0.0649,0.0786,3.0138,230439120000,3.2159,14.0605,20.1556,9.79,0.5462,4.198,0.123,0.2045,0.3963,11433000000,0.2,-0.2411,0.0271,0.0176,1.0384,0.2534,0.2403,0.0281,0.3219,197142120000,38983000000,0.1405,0.0388,19156500000,0.0641,0.0585,2.3198,0.0605,0.2704,0.9778,0.0544,0.0642,2.1378,0.0557,0.0543,2.7512,12.0289,17.2432,8.3754,0.4673,3.5914,0.0812,0.0337,38.315,0.0933,0.0865,0.2065,0.2357,0.2125,0.1361,0.094922597378536,0.1454,0.1283,0.2382,-0.0533,-810000000,-0.0713,4.9856,54892000000,0.0875,0.0608,0.0862,-0.0178,FY2011,2011
