,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.093,2002-04-15,2002-01,19.875,13359000000,159097000000,3228000000,0.49,0.49,46726000000,-183000000,-3765000000,-1354000000,171000000,6592000000,6592000000,6631000000,144000000,-1183000000,11579000000,0,0,35147000000,0,10396000000,205823000000,0,0,13395000000,13443000000,0,35147000000,FY2002,2002
1,0.1,2003-04-15,2003-01,15.933,13185000000,178299000000,3364000000,0.6,0.59,53278000000,-193000000,-4357000000,-1059000000,132000000,7955000000,7955000000,8011000000,137000000,-927000000,13295000000,0,0,39983000000,0,12368000000,231577000000,0,0,13290000000,13338000000,0,39983000000,FY2003,2003
2,0.12,2004-04-09,2004-01,17.95,12933000000,198747000000,3852000000,0.69,0.69,59934000000,-214000000,-5118000000,-996000000,164000000,9054000000,9054000000,9075000000,193000000,-832000000,15025000000,0,0,44909000000,0,14193000000,258681000000,0,0,13089000000,13119000000,0,44909000000,FY2004,2004
3,0.173,2005-03-31,2005-01,17.467,12702000000,216832000000,4185000000,0.8,0.8,67478000000,-249000000,-5589000000,-1184000000,204000000,10267000000,10267000000,10731000000,-215000000,-980000000,17300000000,0,0,50178000000,0,16320000000,284310000000,0,0,12777000000,12798000000,0,50178000000,FY2005,2005
4,0.2,2006-03-29,2006-01,15.37,12495000000,237649000000,4645000000,0.89,0.89,74452000000,-324000000,-5803000000,-1420000000,242000000,11231000000,11231000000,11732000000,-177000000,-1178000000,18713000000,0,0,55739000000,0,17535000000,312101000000,0,0,12549000000,12564000000,0,55739000000,FY2006,2006
5,0.223,2007-03-27,2007-01,15.897,12393000000,263979000000,5459000000,0.9,0.9,84389000000,-425000000,-6354000000,-1809000000,280000000,11284000000,11284000000,12614000000,-905000000,-1529000000,20497000000,0,0,63892000000,0,18968000000,348368000000,0,0,12492000000,12504000000,0,63892000000,FY2007,2007
6,0.293,2008-03-31,2008-01,16.913,11919000000,284137000000,6317000000,1.04,1.04,92886000000,-406000000,-6889000000,-2103000000,309000000,12731000000,12731000000,13269000000,-132000000,-1794000000,21952000000,0,0,70934000000,0,20158000000,377023000000,0,0,12198000000,12216000000,0,70934000000,FY2008,2008
7,0.317,2009-04-01,2009-01,15.707,11745357000,303941000000,6739000000,1.13,1.13,100313000000,-499000000,-7133000000,-2184000000,284000000,13381000000,13381000000,13734000000,146000000,-1900000000,22767000000,0,0,77546000000,0,20867000000,404254000000,0,0,11817000000,11853000000,0,77546000000,FY2009,2009
8,0.363,2010-03-30,2010-01,17.81,11358000000,304106000000,7157000000,1.24,1.23,103979000000,-513000000,-7156000000,-2065000000,181000000,14370000000,14370000000,14962000000,-79000000,-1884000000,24002000000,0,0,79977000000,0,22118000000,408085000000,0,0,11598000000,11631000000,0,79977000000,FY2010,2010
9,0.403,2011-03-30,2011-01,18.69,10548000000,314946000000,7641000000,1.49,1.49,106903000000,-604000000,-7579000000,-2205000000,201000000,16389000000,16389000000,15959000000,1034000000,-2004000000,25542000000,0,0,81361000000,0,23538000000,421849000000,0,0,10968000000,11010000000,0,81361000000,FY2011,2011
10,0.487,2012-03-27,2012-01,20.453,10254000000,334993000000,8106000000,1.51,1.5,111516000000,-688000000,-7924000000,-2320000000,161000000,15699000000,15699000000,16408000000,-21000000,-2159000000,26491000000,0,0,85025000000,0,24332000000,446509000000,0,0,10380000000,10422000000,0,85025000000,FY2012,2012
11,0.53,2013-03-26,2013-01,23.317,9942000000,352297000000,8478000000,1.68,1.67,116354000000,-757000000,-7958000000,-2249000000,186000000,16999000000,16999000000,17704000000,52000000,-2063000000,27725000000,0,0,88629000000,0,25662000000,468651000000,0,0,10122000000,10167000000,0,88629000000,FY2013,2013
12,0.627,2014-03-21,2014-01,24.893,9699000000,358069000000,8870000000,1.63,1.62,118225000000,-673000000,-8105000000,-2335000000,119000000,16022000000,16022000000,16551000000,144000000,-2216000000,26872000000,0,0,91353000000,0,24656000000,476294000000,0,0,9807000000,9849000000,0,91353000000,FY2014,2014
13,0.64,2015-04-01,2015-01,28.327,9684000000,365086000000,9173000000,1.69,1.68,120565000000,-736000000,-7985000000,-2461000000,113000000,16363000000,16363000000,16814000000,285000000,-2348000000,27147000000,0,0,93418000000,0,24799000000,485651000000,0,0,9690000000,9729000000,0,93418000000,FY2015,2015
14,0.653,2016-03-30,2016-01,22.12,9486000000,360984000000,9454000000,1.52,1.52,121146000000,-386000000,-6558000000,-2548000000,81000000,14694000000,14694000000,15080000000,0,-2467000000,24105000000,0,0,97041000000,0,21638000000,482130000000,0,0,9621000000,9651000000,0,97041000000,FY2016,2016
15,0.667,2017-03-31,2017-01,22.247,9144000000,361256000000,10080000000,1.46,1.46,124617000000,-650000000,-6204000000,-2367000000,100000000,13643000000,13643000000,14293000000,0,-2267000000,22764000000,0,0,101853000000,0,20497000000,485873000000,0,0,9303000000,9336000000,0,101853000000,FY2017,2017
16,0.68,2018-03-30,2018-01,35.533,8856000000,373396000000,10529000000,1.09,1.09,126947000000,-661000000,-4600000000,-2330000000,152000000,9862000000,9862000000,10523000000,0,-2178000000,20437000000,0,-3136000000,106510000000,0,15123000000,500343000000,0,0,8985000000,9030000000,0,106510000000,FY2018,2018
17,0.693,2019-03-28,2019-01,31.943,8700000000,385301000000,10678000000,0.76,0.75,129104000000,-509000000,-4281000000,-2346000000,217000000,6670000000,6670000000,7179000000,0,-2129000000,21957000000,0,-8368000000,107147000000,0,11460000000,514405000000,0,0,8787000000,8835000000,0,107147000000,FY2019,2019
18,0.707,2020-03-20,2020-01,38.163,8400000000,394605000000,10987000000,1.74,1.73,129359000000,-320000000,-4915000000,-2599000000,189000000,14881000000,14881000000,15201000000,0,-2410000000,20568000000,0,1958000000,108791000000,0,20116000000,523964000000,0,0,8550000000,8604000000,0,108791000000,FY2020,2020
19,0.72,2021-03-19,2021-01,46.83,8463000000,420315000000,11152000000,1.59,1.58,138836000000,-196000000,-6858000000,-2315000000,121000000,13510000000,13510000000,13706000000,0,-2194000000,22548000000,0,210000000,116288000000,0,20564000000,559151000000,0,0,8493000000,8541000000,0,116288000000,FY2021,2021
20,0.733,2022-03-18,2022-01,46.603,8283000000,429000000000,10658000000,1.63,1.62,143754000000,-267000000,-4756000000,-1994000000,158000000,13673000000,13673000000,13940000000,0,-1836000000,25942000000,0,-5410000000,117812000000,0,18696000000,572754000000,0,0,8376000000,8415000000,0,117812000000,FY2022,2022
21,0.747,2023-02-21,2023-01,47.957,8100000000,463721000000,10945000000,1.43,1.42,147568000000,388000000,-5724000000,-2128000000,254000000,11680000000,11680000000,11292000000,0,-1874000000,20428000000,0,-1538000000,127140000000,0,17016000000,611289000000,0,0,8172000000,8202000000,0,127140000000,FY2023,2023
22,0.76,2024-03-15,2024-01,55.083,8054000000,490142000000,11853000000,1.92,1.91,157983000000,-759000000,-5578000000,-2683000000,546000000,15511000000,15511000000,16270000000,0,-2137000000,27012000000,0,-3027000000,130971000000,0,21848000000,648125000000,0,0,8077000000,8108000000,0,130971000000,FY2024,2024
23,0.83,2025-03-14,2025-01,98.16,8024000000,511753000000,12973000000,2.42,2.41,169232000000,-721000000,-6152000000,-2728000000,483000000,19436000000,19436000000,20157000000,0,-2245000000,29348000000,0,-794000000,139884000000,0,26309000000,680985000000,0,0,8041000000,8081000000,0,139884000000,FY2025,2025
