,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.093,2002-04-15,2002-01,19.875,13359000000,FY2002,2002
1,0.1,2003-04-15,2003-01,15.933,13185000000,FY2003,2003
2,0.12,2004-04-09,2004-01,17.95,12933000000,FY2004,2004
3,0.173,2005-03-31,2005-01,17.467,12702000000,FY2005,2005
4,0.2,2006-03-29,2006-01,15.37,12495000000,FY2006,2006
5,0.223,2007-03-27,2007-01,15.897,12393000000,FY2007,2007
6,0.293,2008-03-31,2008-01,16.913,11919000000,FY2008,2008
7,0.317,2009-04-01,2009-01,15.707,11745357000,FY2009,2009
8,0.363,2010-03-30,2010-01,17.81,11358000000,FY2010,2010
9,0.403,2011-03-30,2011-01,18.69,10548000000,FY2011,2011
10,0.487,2012-03-27,2012-01,20.453,10254000000,FY2012,2012
11,0.53,2013-03-26,2013-01,23.317,9942000000,FY2013,2013
12,0.627,2014-03-21,2014-01,24.893,9699000000,FY2014,2014
13,0.64,2015-04-01,2015-01,28.327,9684000000,FY2015,2015
14,0.653,2016-03-30,2016-01,22.12,9486000000,FY2016,2016
15,0.667,2017-03-31,2017-01,22.247,9144000000,FY2017,2017
16,0.68,2018-03-30,2018-01,35.533,8856000000,FY2018,2018
17,0.693,2019-03-28,2019-01,31.943,8700000000,FY2019,2019
18,0.707,2020-03-20,2020-01,38.163,8400000000,FY2020,2020
19,0.72,2021-03-19,2021-01,46.83,8463000000,FY2021,2021
20,0.733,2022-03-18,2022-01,46.603,8283000000,FY2022,2022
21,0.747,2023-02-21,2023-01,47.957,8100000000,FY2023,2023
22,0.76,2024-03-15,2024-01,55.083,8054000000,FY2024,2024
23,0.83,2025-03-14,2025-01,98.16,8024000000,FY2025,2025
