,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.025,2002-06-10,2002-04,18.62,13344121000,-2045000000,-91000000,-1979000000,2174000000,153000000,257000000,0,-374000000,-374000000,626000000,613000000,-13000000,-334000000,4000000,0,0,0,0,0,0,0,0,0,0,66000000,-2045000000,-2045000000,0,-160000000,774000000,0,-818000000,1596000000,-36000000,358000000,0,300000000,0,FY2003.FQ1,1
1,0.025,2002-09-11,2002-07,16.433,13267935000,-2351000000,-782000000,-2225000000,2908000000,-31000000,-130000000,0,-1298000000,-1298000000,1613000000,977000000,-636000000,-332000000,-129000000,0,0,0,0,0,0,0,0,0,0,126000000,-2351000000,-2351000000,0,-73000000,795000000,0,-697000000,1990000000,196000000,822000000,0,-198000000,0,FY2003.FQ2,2
2,0.025,2002-12-06,2002-10,17.85,13241889000,-2431000000,1822000000,-2640000000,604000000,20000000,-194000000,0,-621000000,-621000000,3404000000,2833000000,-571000000,-332000000,-58000000,0,0,0,0,0,0,0,0,0,0,-209000000,-2431000000,-2431000000,0,-2357000000,832000000,0,-5216000000,1779000000,350000000,2877000000,0,-18000000,0,FY2003.FQ3,3
3,0.025,2003-04-15,2003-01,15.933,13185000000,-2418000000,-3319000000,-2995000000,7319000000,-341000000,664000000,0,-1090000000,-1090000000,-1763000000,-2020000000,-257000000,-330000000,121000000,0,0,0,0,0,0,0,0,0,0,-577000000,-2418000000,-2418000000,0,3172000000,963000000,0,4512000000,2453000000,731000000,-1097000000,0,-243000000,0,FY2003.FQ4,4
4,0.03,2003-06-09,2003-04,18.773,13136757000,-1996000000,-960000000,-1854000000,2653000000,-109000000,-270000000,0,-816000000,-816000000,3039000000,320000000,-2719000000,-395000000,-69000000,0,0,0,0,0,0,0,0,0,0,142000000,-1996000000,-1996000000,0,-96000000,888000000,0,-1521000000,1830000000,31000000,871000000,0,554000000,0,FY2004.FQ1,1
5,0.03,2003-09-10,2003-07,18.637,13107600000,-2650000000,-595000000,-1102000000,3665000000,16000000,1984000000,0,-631000000,-631000000,1588000000,473000000,-1115000000,-393000000,-44000000,0,0,0,0,0,0,0,0,0,0,1548000000,-2650000000,-2650000000,0,451000000,954000000,0,395000000,2282000000,-22000000,290000000,0,-234000000,0,FY2004.FQ2,2
6,0.03,2003-12-11,2003-10,19.65,12984000000,-2757000000,-55000000,-2760000000,1492000000,163000000,-1160000000,0,-1658000000,-1658000000,4091000000,1952000000,-2139000000,-392000000,43000000,0,0,0,0,0,0,0,0,0,0,-3000000,-2757000000,-2757000000,0,-1668000000,971000000,0,-5504000000,2028000000,161000000,3696000000,0,140000000,0,FY2004.FQ3,3
7,0.03,2004-04-09,2004-01,17.95,12933000000,-2905000000,-3953000000,-2596000000,8186000000,250000000,1887000000,0,-1941000000,-1941000000,-1458000000,-1804000000,-346000000,-389000000,181000000,0,0,0,0,0,0,0,0,0,0,309000000,-2905000000,-2905000000,0,4196000000,1039000000,0,4657000000,2721000000,230000000,-374000000,0,-87000000,0,FY2004.FQ4,4
8,0.043,2004-06-04,2004-04,19.0,12807000000,-2645000000,477000000,-2782000000,867000000,67000000,-1371000000,0,-1943000000,-1943000000,2909000000,2872000000,-37000000,-558000000,106000000,0,0,0,-315000000,-315000000,0,0,0,0,0,178000000,-2645000000,-2645000000,0,-2483000000,1037000000,0,-1630000000,2166000000,147000000,-990000000,0,137000000,0,FY2005.FQ1,1
9,0.043,2004-09-03,2004-07,17.67,12729000000,-3049000000,-117000000,-2952000000,4006000000,-56000000,881000000,0,-1565000000,-1565000000,2684000000,2143000000,-541000000,-554000000,-141000000,0,0,0,0,0,0,0,0,0,0,97000000,-3049000000,-3049000000,0,443000000,1031000000,0,340000000,2651000000,-119000000,170000000,0,-67000000,0,FY2005.FQ2,2
