,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.025,2002-06-10,2002-04,18.62,13344121000,2.375,2.535,35848000000,2.6744,-0.0843,0.6371,0.0762,8.535,1.0093,0.2616,0.2708,0.6213,0.6875,0.0393,0.0869,3563000000,0.0722,0.0683,0.2658,261295533020,7.2889,38.1787,64.9827,24.3882,1.2474,9.5464,0.024,0.1941,0.421,129000000,0.0,1.0778,0.0024,-0.0025,0.0096,0.23,0.2238,0.1189,0.3547,248467533020,16851000000,0.1818,0.0312,2091750000,0.0843,0.0561,0.208,0.0535,0.2032,15.1069,0.1239,0.1427,0.1892,0.0486,0.049,6.9311,36.3044,61.7924,23.1909,1.1861,9.0777,0.0245,0.0733,3.8888,0.0811,0.0803,0.1983,0.1929,0.2042,0.119,0.11799691395948,0.124,0.1201,0.2312,-0.0042,-14879000,-0.0011,2.042,27371000000,0.0163,0.0719,0.0397,0.1215,FY2003.FQ1,1
1,0.025,2002-09-11,2002-07,16.433,13267935000,2.3963,2.4888,36966000000,2.7677,-0.1825,0.2475,-0.0412,0.0699,0.992,0.2659,0.2637,0.6374,0.6525,0.0393,0.0,4146000000,0.1223,0.073,0.3104,231944975855,6.2745,32.0321,60.2767,20.6577,1.089,8.303,0.0047,0.25,0.4172,557000000,-0.1308,-0.2369,0.0098,-0.0025,0.0417,0.2336,0.2257,0.1187,0.3492,218031975855,18397000000,0.2447,0.0355,2513250000,0.1305,0.0561,0.2508,0.059,0.1666,62.855,0.127,0.1967,0.2341,0.055,0.049,5.8981,30.1107,56.6611,19.4185,1.0237,7.8049,0.009,0.0659,4.2513,0.0833,0.0808,0.1985,0.1988,0.1997,0.122,0.11799691395948,0.127,0.1207,0.2312,-0.0075,-76186000,-0.0057,2.0915,27935000000,0.0233,0.0859,0.0364,0.1175,FY2003.FQ2,2
2,0.025,2002-12-06,2002-10,17.85,13241889000,2.5144,2.4888,38044000000,2.86,-0.1166,0.0304,-0.037,-0.3941,0.9346,0.2779,0.2637,0.6988,0.6525,0.0225,0.0,3880000000,0.1111,0.0695,0.2916,249160718650,6.5492,32.9708,77.8384,21.3761,1.1558,8.6301,0.0319,0.2454,0.3977,-1827000000,0.0,-0.5483,-0.0327,-0.0025,-0.1373,0.2352,0.2267,0.1119,0.353,236367718650,21649000000,0.2133,0.0322,2286000000,0.1351,0.0556,0.2291,0.0546,0.1824,9.7799,0.1265,0.179,0.2118,0.0505,0.0497,6.213,31.2779,73.8418,20.2786,1.0965,8.187,0.0252,0.0484,4.1922,0.082,0.0808,0.1937,0.2014,0.1997,0.1207,0.11799691395948,0.1251,0.1204,0.2252,-0.0104,-26046000,-0.0019,2.1704,28871000000,0.0283,0.0828,0.0343,0.1098,FY2003.FQ3,3
3,0.025,2003-04-15,2003-01,15.933,13185000000,2.4025,2.4755,39461000000,2.9705,-0.0823,0.266,0.202,0.1129,0.9447,0.2659,0.2637,0.6389,0.6381,0.0225,0.0,5070000000,0.1572,0.0757,0.3816,223937605000,5.6749,28.1505,59.5578,18.1062,0.967,7.4467,0.047,0.2101,0.4162,4901000000,0.0,0.1287,0.0732,0.0061,0.3689,0.2227,0.2249,0.1981,0.3522,210076605000,19476000000,0.1886,0.0374,3080250000,0.1935,0.0556,0.3091,0.0613,0.1315,5.6157,0.1229,0.2243,0.2925,0.058,0.0497,5.3236,26.4081,55.8714,16.9854,0.9071,6.9857,0.0368,0.3148,5.0365,0.0835,0.0808,0.1966,0.2052,0.1997,0.123,0.11799691395948,0.1278,0.1204,0.2279,-0.0078,-56889000,-0.0042,2.2637,30072000000,0.0259,0.135,0.0345,0.1241,FY2003.FQ4,4
4,0.03,2003-06-09,2003-04,18.773,13136757000,2.3998,2.4343,40200000000,3.0489,0.0239,0.0206,0.0413,0.2203,0.9728,0.2626,0.2621,0.6303,0.6344,0.0413,0.2,3978000000,0.1164,0.0695,0.3017,262087339161,6.5195,32.0204,61.1211,20.6221,1.1073,8.4864,0.0311,0.1382,0.4166,657000000,0.0,4.093,0.0114,0.0106,0.0498,0.2325,0.2263,0.1097,0.3495,246616339161,19873000000,0.141,0.0325,2317500000,0.1079,0.0551,0.2343,0.0539,0.2142,9.6673,0.1164,0.1344,0.2182,0.0502,0.0504,6.1347,30.1302,57.5131,19.4048,1.042,7.9855,0.0216,0.0978,4.34,0.0855,0.0808,0.1991,0.2054,0.1997,0.1257,0.11799691395948,0.1309,0.1204,0.2307,-0.0163,-48243000,-0.0036,2.3422,30883000000,0.0201,0.133,0.0323,0.1214,FY2004.FQ1,1
5,0.03,2003-09-10,2003-07,18.637,13107600000,2.3192,2.4012,42594000000,3.2356,-0.1271,0.9545,-0.0447,0.2603,0.9792,0.2574,0.2608,0.597,0.6309,0.0413,0.0,4746000000,0.1447,0.075,0.3605,257041341200,6.0346,29.8538,54.1595,19.5335,1.0572,7.7841,0.0243,0.2466,0.4311,1015000000,-0.1187,0.8222,0.016,0.0106,0.0771,0.2361,0.2312,0.1258,0.3502,244286341200,17978000000,0.2105,0.0386,2844000000,0.1316,0.0551,0.288,0.0599,0.1604,11.6473,0.1247,0.1439,0.2717,0.0565,0.0504,5.7352,28.3723,51.472,18.5642,1.0047,7.3979,0.0106,0.1136,4.8034,0.0881,0.0815,0.2007,0.2079,0.1997,0.1289,0.11799691395948,0.1359,0.121,0.2321,-0.0143,-29157000,-0.0022,2.5084,33021000000,0.0237,0.1151,0.0311,0.1522,FY2004.FQ2,2
6,0.03,2003-12-11,2003-10,19.65,12984000000,2.4855,2.4012,42172000000,3.2153,-0.1341,0.5809,0.2066,1.4701,0.9379,0.263,0.2621,0.6537,0.6338,0.0269,0.0,4370000000,0.1262,0.0693,0.3331,268774600000,6.3732,30.4009,50.6357,19.8592,1.0733,8.2128,0.0403,0.1167,0.4023,-1265000000,0.0,0.3076,-0.02,0.0106,-0.0964,0.2338,0.233,0.1237,0.3498,255135600000,21261000000,0.1285,0.0321,2549250000,0.1151,0.0551,0.2591,0.0539,0.196,7.1494,0.1224,0.133,0.2434,0.0506,0.0505,6.0498,28.8582,48.0662,18.8514,1.0189,7.7961,0.0264,0.1303,4.8059,0.0868,0.0826,0.1992,0.2085,0.2001,0.1283,0.11799691395948,0.136,0.1217,0.2295,-0.0139,-123600000,-0.0094,2.4951,32726000000,0.0281,0.0957,0.0281,0.1085,FY2004.FQ3,3
7,0.03,2004-04-09,2004-01,17.95,12933000000,2.4162,2.4012,43623000000,3.3527,-0.2014,0.9002,0.1165,0.1184,0.9096,0.2492,0.2621,0.6022,0.6338,0.0269,0.0,5785000000,0.141,0.0769,0.4446,244050350000,5.5945,26.9549,42.9061,17.1951,0.9434,7.233,0.0575,0.1052,0.4138,5281000000,0.2188,0.0775,0.0702,0.0106,0.4058,0.2254,0.233,0.1373,0.383,232147350000,18074000000,0.0849,0.0361,3559500000,0.1555,0.0568,0.3647,0.0631,0.1428,4.4547,0.1488,0.1695,0.3493,0.0604,0.0528,5.3216,25.6403,40.8135,16.3564,0.8974,6.8802,0.035,0.1238,5.7789,0.0861,0.0834,0.2045,0.211,0.2033,0.1296,0.11799691395948,0.138,0.1225,0.2354,-0.0205,-51000000,-0.0039,2.5932,33741000000,0.0259,0.1117,0.028,0.1054,FY2004.FQ4,4
8,0.043,2004-06-04,2004-04,19.0,12807000000,2.5382,2.4012,42384000000,3.284,-0.3251,0.551,-0.0138,-0.6732,0.8462,0.2715,0.2628,0.6891,0.6338,0.0645,0.4333,4642000000,0.1669,0.0709,0.3596,256973000000,6.0629,27.4573,78.9956,17.4668,0.9628,7.9681,0.0426,0.1928,0.3939,-1778000000,0.0,-3.7062,-0.0271,0.0106,-0.1377,0.2364,0.2337,0.1629,0.35,243333000000,22349000000,0.1638,0.033,2703750000,0.1666,0.057,0.2793,0.055,0.2574,6.0982,0.1569,0.1803,0.2632,0.0519,0.0534,5.7411,25.9998,74.8026,16.5397,0.9117,7.5452,0.0209,0.1436,5.0707,0.0878,0.0845,0.2086,0.2176,0.2053,0.1322,0.11799691395948,0.1413,0.1243,0.241,-0.0211,-126000000,-0.0097,2.4988,32250000000,0.0198,0.1151,0.0214,0.0543,FY2005.FQ1,1
9,0.043,2004-09-03,2004-07,17.67,12729000000,2.5509,2.4094,43144000000,3.3664,-0.1505,0.0529,-0.0483,0.093,0.8281,0.2851,0.2644,0.7274,0.6381,0.0645,0.0,5435000000,0.1451,0.0771,0.424,237256430000,5.4991,24.802,74.2586,15.5069,0.8654,7.1852,0.028,0.1069,0.392,957000000,-0.1403,-0.0571,0.0135,0.0106,0.0746,0.2402,0.2337,0.1333,0.35,224921430000,23577000000,0.0846,0.0376,3303000000,0.1613,0.057,0.3436,0.0625,0.2077,8.3874,0.1388,0.1643,0.3249,0.0591,0.0534,5.2132,23.5125,70.3979,14.7007,0.8205,6.8116,0.033,0.1142,5.4977,0.0879,0.0858,0.2104,0.2236,0.2067,0.1309,0.11799691395948,0.139,0.127,0.2424,-0.0264,-78000000,-0.006,2.5764,33020000000,0.0279,0.1141,0.0208,0.0129,FY2005.FQ2,2
