,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.025,2002-06-10,2002-04,18.62,13344121000,40136000000,774000000,0.12,0.12,11990000000,-41000000,-900000000,-288000000,36000000,1631000000,1631000000,1637000000,35000000,-252000000,2789000000,0,0,9201000000,0,2537000000,52126000000,0,0,13356000000,13404000000,0,9201000000,FY2003.FQ1,1
1,0.025,2002-09-11,2002-07,16.433,13267935000,43516000000,795000000,0.15,0.15,13265000000,-45000000,-1092000000,-254000000,30000000,2019000000,2019000000,2035000000,29000000,-224000000,3351000000,0,0,9914000000,0,3127000000,56781000000,0,0,13314000000,13356000000,0,9914000000,FY2003.FQ2,2
2,0.025,2002-12-06,2002-10,17.85,13241889000,42646000000,832000000,0.13,0.13,13119000000,-43000000,-995000000,-264000000,34000000,1797000000,1797000000,1823000000,17000000,-230000000,3048000000,0,0,10071000000,0,2818000000,55765000000,0,0,13263000000,13302000000,0,10071000000,FY2003.FQ3,3
3,0.025,2003-04-15,2003-01,15.933,13185000000,52001000000,963000000,0.19,0.19,14904000000,-64000000,-1369000000,-253000000,32000000,2508000000,2508000000,2517000000,55000000,-221000000,4107000000,0,0,10797000000,0,3886000000,66905000000,0,0,13227000000,13284000000,0,10797000000,FY2003.FQ4,4
4,0.03,2003-06-09,2003-04,18.773,13136757000,43918000000,888000000,0.14,0.14,13306000000,-42000000,-1006000000,-250000000,38000000,1861000000,1861000000,1872000000,31000000,-212000000,3090000000,0,0,10216000000,0,2878000000,57224000000,0,0,13158000000,13185000000,0,10216000000,FY2004.FQ1,1
5,0.03,2003-09-10,2003-07,18.637,13107600000,48298000000,954000000,0.18,0.18,14934000000,-41000000,-1253000000,-234000000,19000000,2444000000,2444000000,2324000000,161000000,-215000000,3792000000,0,0,11142000000,0,3577000000,63232000000,0,0,13134000000,13164000000,0,11142000000,FY2004.FQ2,2
6,0.03,2003-12-11,2003-10,19.65,12984000000,48292000000,971000000,0.15,0.15,14743000000,-48000000,-1117000000,-232000000,26000000,2028000000,2028000000,2076000000,0,-206000000,3399000000,0,0,11344000000,0,3193000000,63035000000,0,0,13086000000,13116000000,0,11344000000,FY2004.FQ3,3
7,0.03,2004-04-09,2004-01,17.95,12933000000,58239000000,1039000000,0.21,0.21,16951000000,-83000000,-1741000000,-282000000,81000000,2721000000,2721000000,2804000000,0,-201000000,4746000000,0,0,12205000000,0,4545000000,75190000000,0,0,12981000000,13011000000,0,12205000000,FY2004.FQ4,4
8,0.043,2004-06-04,2004-04,19.0,12807000000,49969000000,1037000000,0.16,0.16,15474000000,-42000000,-1189000000,-250000000,42000000,2166000000,2166000000,2208000000,0,-208000000,3605000000,0,0,11869000000,0,3397000000,65443000000,0,0,12882000000,12906000000,0,11869000000,FY2005.FQ1,1
9,0.043,2004-09-03,2004-07,17.67,12729000000,53533000000,1031000000,0.2,0.2,16926000000,-56000000,-1458000000,-283000000,44000000,2651000000,2651000000,2707000000,0,-239000000,4404000000,0,0,12522000000,0,4165000000,70459000000,0,0,12792000000,12816000000,0,12522000000,FY2005.FQ2,2
10,0.043,2004-12-03,2004-10,17.973,12705000000,52567000000,1093000000,0.18,0.18,16715000000,-50000000,-1207000000,-305000000,64000000,2286000000,2286000000,2336000000,0,-241000000,3784000000,0,0,12931000000,0,3543000000,69282000000,0,0,12726000000,12747000000,0,12931000000,FY2005.FQ3,3
11,0.043,2005-03-31,2005-01,17.467,12702000000,60762000000,1024000000,0.24,0.24,18316000000,-101000000,-1736000000,-346000000,55000000,3164000000,3164000000,3480000000,0,-291000000,5507000000,-215000000,0,12809000000,0,5216000000,79078000000,0,0,12714000000,12726000000,0,12809000000,FY2005.FQ4,4
12,0.05,2005-06-03,2005-04,15.713,12546000000,54571000000,1132000000,0.19,0.19,17109000000,-68000000,-1212000000,-252000000,52000000,2461000000,2461000000,2529000000,0,-200000000,3941000000,0,0,13168000000,0,3741000000,71680000000,0,0,12684000000,12702000000,0,13168000000,FY2006.FQ1,1
13,0.05,2005-08-31,2005-07,16.45,12489000000,58089000000,1153000000,0.22,0.22,18608000000,-68000000,-1503000000,-364000000,58000000,2805000000,2805000000,2921000000,-48000000,-306000000,4730000000,0,0,13878000000,0,4424000000,76697000000,0,0,12525000000,12540000000,0,13878000000,FY2006.FQ2,2
14,0.05,2005-12-02,2005-10,15.77,12489000000,57325000000,1174000000,0.19,0.19,18072000000,-73000000,-1253000000,-407000000,57000000,2374000000,2374000000,2495000000,-48000000,-350000000,4098000000,0,0,13974000000,0,3748000000,75397000000,0,0,12495000000,12507000000,0,13974000000,FY2006.FQ3,3
15,0.05,2006-03-29,2006-01,15.37,12495000000,68382000000,1186000000,0.28,0.28,20870000000,-115000000,-1834000000,-400000000,77000000,3591000000,3591000000,3736000000,-30000000,-323000000,5893000000,0,0,14977000000,0,5570000000,89252000000,0,0,12495000000,12510000000,0,14977000000,FY2006.FQ4,4
16,0.056,2006-06-02,2006-04,15.01,12503326000,60237000000,1294000000,0.21,0.21,19439000000,-79000000,-1388000000,-436000000,68000000,2615000000,2615000000,2739000000,-45000000,-368000000,4495000000,0,0,14944000000,0,4127000000,79676000000,0,0,12501000000,12510000000,0,14944000000,FY2007.FQ1,1
17,0.056,2006-08-30,2006-07,14.833,12507096000,64585000000,1348000000,0.16,0.16,20845000000,-91000000,-1636000000,-456000000,63000000,2083000000,2083000000,3075000000,-901000000,-393000000,5104000000,0,0,15741000000,0,4711000000,85430000000,0,0,12504000000,12516000000,0,15741000000,FY2007.FQ2,2
18,0.056,2006-11-30,2006-10,16.427,12504076000,63765000000,1371000000,0.21,0.21,20702000000,-84000000,-1363000000,-489000000,65000000,2647000000,2647000000,2678000000,53000000,-424000000,4465000000,0,0,16237000000,0,4041000000,84467000000,0,0,12507000000,12519000000,0,16237000000,FY2007.FQ3,3
19,0.056,2007-03-27,2007-01,15.897,12393000000,75392000000,1446000000,0.31,0.31,23404000000,-171000000,-1966000000,-429000000,84000000,3939000000,3939000000,4121000000,-11000000,-345000000,6432000000,0,0,16972000000,0,6087000000,98796000000,0,0,12456000000,12468000000,0,16972000000,FY2007.FQ4,4
20,0.073,2007-06-01,2007-04,15.973,12326333000,65311000000,1488000000,0.23,0.22,21099000000,-100000000,-1532000000,-475000000,83000000,2826000000,2826000000,2926000000,0,-392000000,4850000000,0,0,16249000000,0,4458000000,86410000000,0,0,12366000000,12384000000,0,16249000000,FY2008.FQ1,1
21,0.073,2007-09-10,2007-07,15.317,12204680000,70589000000,1572000000,0.24,0.24,22410000000,-106000000,-1676000000,-488000000,84000000,2952000000,2952000000,3203000000,-145000000,-404000000,5283000000,0,0,17127000000,0,4879000000,92999000000,0,0,12306000000,12324000000,0,17127000000,FY2008.FQ2,2
22,0.073,2007-11-29,2007-10,15.07,12014428000,69251000000,1596000000,0.23,0.23,22614000000,-99000000,-1556000000,-537000000,77000000,2857000000,2857000000,2945000000,11000000,-460000000,4961000000,0,0,17653000000,0,4501000000,91865000000,0,0,12153000000,12168000000,0,17653000000,FY2008.FQ3,3
23,0.073,2008-03-31,2008-01,16.913,11919000000,79064000000,1661000000,0.34,0.34,26826000000,-101000000,-2125000000,-603000000,63000000,4096000000,4096000000,4211000000,-14000000,-540000000,6876000000,0,0,19950000000,0,6336000000,105890000000,0,0,11964000000,11991000000,0,19950000000,FY2008.FQ4,4
24,0.079,2008-06-09,2008-04,19.327,11831166000,71372000000,1628000000,0.25,0.25,23568000000,-122000000,-1670000000,-560000000,64000000,3022000000,3022000000,3151000000,-7000000,-496000000,5317000000,0,0,18251000000,0,4821000000,94940000000,0,0,11871000000,11901000000,0,18251000000,FY2009.FQ1,1
25,0.079,2008-09-04,2008-07,19.54,11801929000,77118000000,1738000000,0.29,0.29,25224000000,-130000000,-1826000000,-527000000,71000000,3449000000,3449000000,3531000000,48000000,-456000000,5813000000,0,0,19411000000,0,5357000000,102342000000,0,0,11835000000,11874000000,0,19411000000,FY2009.FQ2,2
26,0.079,2008-12-09,2008-10,18.603,11767657000,73621000000,1688000000,0.26,0.26,24724000000,-113000000,-1690000000,-537000000,81000000,3138000000,3138000000,3146000000,105000000,-456000000,5292000000,0,0,19432000000,0,4836000000,98345000000,0,0,11793000000,11832000000,0,19432000000,FY2009.FQ3,3
27,0.079,2009-04-01,2009-01,15.707,11745357000,81830000000,1685000000,0.32,0.32,26797000000,-134000000,-1947000000,-560000000,68000000,3773000000,3773000000,3907000000,0,-492000000,6346000000,0,0,20451000000,0,5854000000,108627000000,0,0,11772000000,11808000000,0,20451000000,FY2009.FQ4,4
28,0.091,2009-06-05,2009-04,16.8,11689853000,70388000000,1700000000,0.25,0.25,23854000000,-117000000,-1603000000,-518000000,51000000,3022000000,3022000000,3147000000,-8000000,-467000000,5217000000,0,0,18637000000,0,4750000000,94242000000,0,0,11760000000,11790000000,0,18637000000,FY2010.FQ1,1
29,0.091,2009-09-09,2009-07,16.627,11570480000,75056000000,1757000000,0.29,0.29,25820000000,-107000000,-1870000000,-515000000,42000000,3472000000,3472000000,3586000000,-7000000,-473000000,5929000000,0,0,19891000000,0,5456000000,100876000000,0,0,11673000000,11700000000,0,19891000000,FY2010.FQ2,2
30,0.091,2009-12-08,2009-10,16.56,11430516000,73915000000,1798000000,0.27,0.27,25458000000,-114000000,-1702000000,-510000000,35000000,3144000000,3144000000,3265000000,-7000000,-475000000,5442000000,0,0,20016000000,0,4967000000,99373000000,0,0,11553000000,11583000000,0,20016000000,FY2010.FQ3,3
31,0.091,2010-03-30,2010-01,17.81,11358000000,84740000000,1902000000,0.4,0.4,28882000000,-175000000,-1999000000,-522000000,53000000,4758000000,4758000000,4990000000,-57000000,-469000000,7458000000,0,0,21424000000,0,6989000000,113622000000,0,0,11409000000,11451000000,0,21424000000,FY2010.FQ4,4
32,0.101,2010-06-04,2010-04,17.88,11208000000,74618000000,1864000000,0.29,0.29,25193000000,-143000000,-1822000000,-522000000,51000000,3301000000,3301000000,3444000000,0,-471000000,5737000000,0,0,19456000000,0,5266000000,99811000000,0,0,11295000000,11343000000,0,19456000000,FY2011.FQ1,1
33,0.101,2010-09-01,2010-07,17.063,10965000000,77438000000,1884000000,0.32,0.32,26288000000,-151000000,-1958000000,-542000000,57000000,3596000000,3596000000,3747000000,0,-485000000,6190000000,0,0,20098000000,0,5705000000,103726000000,0,0,11088000000,11121000000,0,20098000000,FY2011.FQ2,2
34,0.101,2010-12-06,2010-10,18.057,10749000000,75819000000,1887000000,0.31,0.31,26133000000,-154000000,-1505000000,-569000000,53000000,3436000000,3436000000,3590000000,0,-516000000,5611000000,0,0,20522000000,0,5095000000,101952000000,0,0,10851000000,10893000000,0,20522000000,FY2011.FQ3,3
35,0.101,2011-03-30,2011-01,18.69,10548000000,87071000000,2006000000,0.57,0.56,29289000000,-156000000,-2294000000,-572000000,40000000,6056000000,6056000000,5178000000,1034000000,-532000000,8004000000,0,0,21285000000,0,7472000000,116360000000,0,0,10644000000,10686000000,0,21285000000,FY2011.FQ4,4
36,0.122,2011-06-03,2011-04,18.327,10437000000,78177000000,1985000000,0.32,0.32,26012000000,-151000000,-1800000000,-562000000,44000000,3399000000,3399000000,3578000000,-28000000,-518000000,5896000000,0,0,20116000000,0,5378000000,104189000000,0,0,10491000000,10539000000,0,20116000000,FY2012.FQ1,1
37,0.122,2011-09-01,2011-07,17.57,10386000000,81770000000,2042000000,0.36,0.36,27596000000,-136000000,-1868000000,-600000000,22000000,3801000000,3801000000,3937000000,0,-578000000,6383000000,0,0,21213000000,0,5805000000,109366000000,0,0,10416000000,10455000000,0,21213000000,FY2012.FQ2,2
38,0.122,2011-12-08,2011-10,18.907,10311000000,82591000000,2040000000,0.32,0.32,27635000000,-157000000,-1842000000,-600000000,65000000,3336000000,3336000000,3501000000,-8000000,-535000000,5878000000,0,0,21757000000,0,5343000000,110226000000,0,0,10335000000,10374000000,0,21757000000,FY2012.FQ3,3
39,0.122,2012-03-27,2012-01,20.453,10254000000,92455000000,2039000000,0.5,0.5,30273000000,-244000000,-2414000000,-558000000,30000000,5163000000,5163000000,5392000000,15000000,-528000000,8334000000,0,0,21939000000,0,7806000000,122728000000,0,0,10263000000,10305000000,0,21939000000,FY2012.FQ4,4
40,0.133,2012-06-01,2012-04,19.637,10185000000,85178000000,2106000000,0.36,0.36,27832000000,-152000000,-1958000000,-573000000,38000000,3742000000,3742000000,3894000000,0,-535000000,6387000000,0,0,21445000000,0,5852000000,113010000000,0,0,10227000000,10275000000,0,21445000000,FY2013.FQ1,1
41,0.133,2012-09-06,2012-07,24.81,10116000000,85643000000,2127000000,0.39,0.39,28639000000,-145000000,-2032000000,-555000000,50000000,4016000000,4016000000,4161000000,0,-505000000,6698000000,0,0,21941000000,0,6193000000,114282000000,0,0,10152000000,10194000000,0,21941000000,FY2013.FQ2,2
42,0.133,2012-12-04,2012-10,25.007,10074000000,85470000000,2071000000,0.36,0.36,28330000000,-190000000,-1738000000,-590000000,44000000,3635000000,3635000000,3809000000,16000000,-546000000,6093000000,0,0,22237000000,0,5547000000,113800000000,0,0,10092000000,10137000000,0,22237000000,FY2013.FQ3,3
43,0.133,2013-03-26,2013-01,23.317,9942000000,96071000000,2174000000,0.56,0.55,31705000000,-270000000,-2240000000,-532000000,55000000,5606000000,5606000000,5863000000,13000000,-477000000,8580000000,0,0,23125000000,0,8103000000,127776000000,0,0,10023000000,10068000000,0,23125000000,FY2013.FQ4,4
44,0.157,2013-06-07,2013-04,25.907,9861000000,85991000000,2187000000,0.38,0.38,28079000000,-161000000,-1976000000,-573000000,43000000,3784000000,3784000000,3932000000,13000000,-530000000,6438000000,0,0,21641000000,0,5908000000,114070000000,0,0,9903000000,9954000000,0,21641000000,FY2014.FQ1,1
45,0.157,2013-09-05,2013-07,25.98,9798000000,87420000000,2215000000,0.41,0.41,29410000000,-146000000,-2020000000,-589000000,37000000,4069000000,4069000000,4205000000,10000000,-552000000,6777000000,0,0,22633000000,0,6225000000,116830000000,0,0,9834000000,9873000000,0,22633000000,FY2014.FQ2,2
46,0.157,2013-12-06,2013-10,25.583,9726000000,86687000000,2198000000,0.38,0.38,29001000000,-147000000,-1860000000,-592000000,12000000,3738000000,3738000000,3870000000,15000000,-580000000,6310000000,0,0,22691000000,0,5730000000,115688000000,0,0,9771000000,9813000000,0,22691000000,FY2014.FQ3,3
47,0.157,2014-03-21,2014-01,24.893,9699000000,97971000000,2270000000,0.45,0.45,31735000000,-219000000,-2249000000,-581000000,27000000,4431000000,4431000000,4544000000,106000000,-554000000,7347000000,0,0,24388000000,0,6793000000,129706000000,0,0,9717000000,9759000000,0,24388000000,FY2014.FQ4,4
48,0.16,2014-06-06,2014-04,26.57,9690000000,86714000000,2250000000,0.37,0.37,28246000000,-133000000,-1914000000,-592000000,24000000,3593000000,3593000000,3711000000,15000000,-568000000,6193000000,0,0,22053000000,0,5625000000,114960000000,0,0,9699000000,9744000000,0,22053000000,FY2015.FQ1,1
49,0.16,2014-09-05,2014-07,24.527,9681000000,90010000000,2277000000,0.42,0.42,30115000000,-266000000,-2113000000,-570000000,32000000,4093000000,4093000000,4089000000,270000000,-538000000,6740000000,0,0,23375000000,0,6202000000,120125000000,0,0,9690000000,9723000000,0,23375000000,FY2015.FQ2,2
50,0.16,2014-12-01,2014-10,25.423,9681000000,89247000000,2354000000,0.38,0.38,29754000000,-115000000,-1783000000,-676000000,20000000,3711000000,3711000000,3826000000,0,-656000000,6265000000,0,0,23489000000,0,5609000000,119001000000,0,0,9687000000,9720000000,0,23489000000,FY2015.FQ3,3
51,0.16,2015-04-01,2015-01,28.327,9684000000,99115000000,2292000000,0.51,0.51,32450000000,-222000000,-2175000000,-623000000,37000000,4966000000,4966000000,5188000000,0,-586000000,7949000000,0,0,24501000000,0,7363000000,131565000000,0,0,9681000000,9729000000,0,24501000000,FY2015.FQ4,4
52,0.163,2015-06-05,2015-04,26.017,9681000000,86483000000,2319000000,0.34,0.34,28343000000,58000000,-1573000000,-843000000,19000000,3341000000,3341000000,3283000000,0,-824000000,5680000000,0,0,22663000000,0,4856000000,114826000000,0,0,9693000000,9729000000,0,22663000000,FY2016.FQ1,1
53,0.163,2015-09-09,2015-07,23.993,9645000000,90056000000,2339000000,0.36,0.36,30173000000,-160000000,-1891000000,-567000000,24000000,3475000000,3475000000,3635000000,0,-543000000,6069000000,0,0,24104000000,0,5526000000,120229000000,0,0,9663000000,9693000000,0,24104000000,FY2016.FQ2,2
54,0.163,2015-12-02,2015-10,19.08,9630000000,87446000000,2365000000,0.34,0.34,29962000000,-110000000,-1748000000,-573000000,21000000,3304000000,3304000000,3414000000,0,-552000000,5714000000,0,0,24248000000,0,5162000000,117408000000,0,0,9630000000,9657000000,0,24248000000,FY2016.FQ3,3
55,0.163,2016-03-30,2016-01,22.12,9486000000,96999000000,2431000000,0.48,0.47,32668000000,-174000000,-1346000000,-565000000,17000000,4574000000,4574000000,4748000000,0,-548000000,6642000000,0,0,26026000000,0,6094000000,129667000000,0,0,9495000000,9525000000,0,26026000000,FY2016.FQ4,4
56,0.167,2016-06-03,2016-04,22.29,9375000000,86544000000,2388000000,0.32,0.32,29360000000,-137000000,-1498000000,-585000000,24000000,3079000000,3079000000,3216000000,0,-561000000,5275000000,0,0,24085000000,0,4714000000,115904000000,0,0,9432000000,9462000000,0,24085000000,FY2017.FQ1,1
57,0.167,2016-08-31,2016-07,24.323,9291000000,89485000000,2517000000,0.4,0.4,31369000000,-116000000,-1710000000,-588000000,22000000,3773000000,3773000000,3889000000,0,-566000000,6165000000,0,0,25204000000,0,5599000000,120854000000,0,0,9327000000,9357000000,0,25204000000,FY2017.FQ2,2
58,0.167,2016-12-01,2016-10,23.34,9237000000,87484000000,2469000000,0.32,0.32,30695000000,-168000000,-1332000000,-609000000,24000000,3034000000,3034000000,3202000000,0,-585000000,5119000000,0,0,25576000000,0,4534000000,118179000000,0,0,9267000000,9300000000,0,25576000000,FY2017.FQ3,3
59,0.167,2017-03-31,2017-01,22.247,9144000000,97743000000,2706000000,0.41,0.4,33193000000,-229000000,-1664000000,-585000000,30000000,3757000000,3757000000,3986000000,0,-555000000,6205000000,0,0,26988000000,0,5650000000,130936000000,0,0,9186000000,9228000000,0,26988000000,FY2017.FQ4,4
60,0.17,2017-06-02,2017-04,25.06,9069000000,87688000000,2551000000,0.33,0.33,29854000000,-113000000,-1522000000,-598000000,35000000,3039000000,3039000000,3152000000,0,-563000000,5237000000,0,0,24617000000,0,4674000000,117542000000,0,0,9105000000,9141000000,0,24617000000,FY2018.FQ1,1
61,0.17,2017-08-31,2017-07,26.663,8979000000,91521000000,2618000000,0.32,0.32,31834000000,-205000000,-1502000000,-613000000,38000000,2899000000,2899000000,3104000000,0,-575000000,5969000000,0,-788000000,25865000000,0,4606000000,123355000000,0,0,9024000000,9063000000,0,25865000000,FY2018.FQ2,2
62,0.17,2017-12-01,2017-10,29.103,8904000000,91547000000,2658000000,0.19,0.19,31632000000,-155000000,-975000000,-583000000,42000000,1749000000,1749000000,1904000000,0,-541000000,4764000000,0,-1344000000,26868000000,0,2879000000,123179000000,0,0,8943000000,8988000000,0,26868000000,FY2018.FQ3,3
63,0.17,2018-03-30,2018-01,35.533,8856000000,102640000000,2702000000,0.24,0.24,33627000000,-188000000,-601000000,-536000000,37000000,2175000000,2175000000,2363000000,0,-499000000,4467000000,0,-1004000000,29160000000,0,2964000000,136267000000,0,0,8868000000,8931000000,0,29160000000,FY2018.FQ4,4
64,0.173,2018-06-04,2018-04,29.487,8853000000,91707000000,2678000000,0.24,0.24,30983000000,-142000000,-546000000,-530000000,43000000,2134000000,2134000000,2276000000,0,-487000000,5154000000,0,-1845000000,25829000000,0,2822000000,122690000000,0,0,8850000000,8901000000,0,25829000000,FY2019.FQ1,1
65,0.173,2018-09-06,2018-07,29.743,8805000000,95571000000,2654000000,-0.09,-0.09,32457000000,-134000000,-1125000000,-554000000,51000000,-861000000,-861000000,-727000000,0,-503000000,5750000000,0,-4849000000,26707000000,0,398000000,128028000000,0,0,8838000000,8838000000,0,26707000000,FY2019.FQ2,2
66,0.173,2018-11-30,2018-10,33.427,8738144000,93116000000,2615000000,0.19,0.19,31778000000,-107000000,-759000000,-593000000,59000000,1710000000,1710000000,1817000000,0,-534000000,4986000000,0,-1876000000,26792000000,0,2576000000,124894000000,0,0,8772000000,8823000000,0,26792000000,FY2019.FQ3,3
67,0.173,2019-03-28,2019-01,31.943,8700000000,104907000000,2731000000,0.42,0.42,33886000000,-126000000,-1851000000,-669000000,64000000,3687000000,3687000000,3813000000,0,-605000000,6067000000,0,202000000,27819000000,0,5664000000,138793000000,0,0,8688000000,8736000000,0,27819000000,FY2019.FQ4,4
68,0.177,2019-06-07,2019-04,34.28,8586000000,93034000000,2714000000,0.44,0.44,30891000000,-64000000,-1251000000,-673000000,48000000,3842000000,3842000000,3906000000,0,-625000000,4945000000,0,837000000,25946000000,0,5157000000,123925000000,0,0,8607000000,8658000000,0,25946000000,FY2020.FQ1,1
69,0.177,2019-09-06,2019-07,36.793,8541000000,97923000000,2722000000,0.42,0.42,32454000000,-70000000,-1233000000,-641000000,56000000,3610000000,3610000000,3680000000,0,-585000000,5583000000,0,-85000000,26871000000,0,4913000000,130377000000,0,0,8559000000,8607000000,0,26871000000,FY2020.FQ2,2
70,0.177,2019-12-04,2019-10,39.087,8517000000,95900000000,2723000000,0.38,0.38,32091000000,-33000000,-1052000000,-633000000,44000000,3288000000,3288000000,3321000000,0,-589000000,4718000000,0,244000000,27373000000,0,4373000000,127991000000,0,0,8529000000,8583000000,0,27373000000,FY2020.FQ3,3
71,0.177,2020-03-20,2020-01,38.163,8400000000,107748000000,2828000000,0.48,0.48,33923000000,-153000000,-1379000000,-652000000,41000000,4141000000,4141000000,4294000000,0,-611000000,5322000000,0,962000000,28601000000,0,5673000000,141671000000,0,0,8505000000,8568000000,0,28601000000,FY2020.FQ4,4
