,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.025,2002-06-10,2002-04,18.62,13344121000,FY2003.FQ1,1
1,0.025,2002-09-11,2002-07,16.433,13267935000,FY2003.FQ2,2
2,0.025,2002-12-06,2002-10,17.85,13241889000,FY2003.FQ3,3
3,0.025,2003-04-15,2003-01,15.933,13185000000,FY2003.FQ4,4
4,0.03,2003-06-09,2003-04,18.773,13136757000,FY2004.FQ1,1
5,0.03,2003-09-10,2003-07,18.637,13107600000,FY2004.FQ2,2
6,0.03,2003-12-11,2003-10,19.65,12984000000,FY2004.FQ3,3
7,0.03,2004-04-09,2004-01,17.95,12933000000,FY2004.FQ4,4
8,0.043,2004-06-04,2004-04,19.0,12807000000,FY2005.FQ1,1
9,0.043,2004-09-03,2004-07,17.67,12729000000,FY2005.FQ2,2
10,0.043,2004-12-03,2004-10,17.973,12705000000,FY2005.FQ3,3
11,0.043,2005-03-31,2005-01,17.467,12702000000,FY2005.FQ4,4
12,0.05,2005-06-03,2005-04,15.713,12546000000,FY2006.FQ1,1
13,0.05,2005-08-31,2005-07,16.45,12489000000,FY2006.FQ2,2
14,0.05,2005-12-02,2005-10,15.77,12489000000,FY2006.FQ3,3
15,0.05,2006-03-29,2006-01,15.37,12495000000,FY2006.FQ4,4
16,0.056,2006-06-02,2006-04,15.01,12503326000,FY2007.FQ1,1
17,0.056,2006-08-30,2006-07,14.833,12507096000,FY2007.FQ2,2
18,0.056,2006-11-30,2006-10,16.427,12504076000,FY2007.FQ3,3
19,0.056,2007-03-27,2007-01,15.897,12393000000,FY2007.FQ4,4
20,0.073,2007-06-01,2007-04,15.973,12326333000,FY2008.FQ1,1
21,0.073,2007-09-10,2007-07,15.317,12204680000,FY2008.FQ2,2
22,0.073,2007-11-29,2007-10,15.07,12014428000,FY2008.FQ3,3
23,0.073,2008-03-31,2008-01,16.913,11919000000,FY2008.FQ4,4
24,0.079,2008-06-09,2008-04,19.327,11831166000,FY2009.FQ1,1
25,0.079,2008-09-04,2008-07,19.54,11801929000,FY2009.FQ2,2
26,0.079,2008-12-09,2008-10,18.603,11767657000,FY2009.FQ3,3
27,0.079,2009-04-01,2009-01,15.707,11745357000,FY2009.FQ4,4
28,0.091,2009-06-05,2009-04,16.8,11689853000,FY2010.FQ1,1
29,0.091,2009-09-09,2009-07,16.627,11570480000,FY2010.FQ2,2
30,0.091,2009-12-08,2009-10,16.56,11430516000,FY2010.FQ3,3
31,0.091,2010-03-30,2010-01,17.81,11358000000,FY2010.FQ4,4
32,0.101,2010-06-04,2010-04,17.88,11208000000,FY2011.FQ1,1
33,0.101,2010-09-01,2010-07,17.063,10965000000,FY2011.FQ2,2
