Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
AAC/U,ARES ACQUISITION CORPORATION UNIT 1 COM & 1/5 WT EXP,ARES ACQUISITION CORP,0,,,
AAC/WS,ARES ACQUISITION CORPORATION WARRANT,<empty>,0,,,
AAICpB,ARLINGTON ASSET INVEST CORP 7% CUM PRF 12/05/2022 SE *CLBL,<empty>,0,,,
AAICpC,ARLINGTON ASSET INVEST CORP 8.250%CUM RED FIX TO FLT *CLBL,<empty>,0,,,
AAIN,ARLINGTON ASSET INVEST CORP 6% SNR NTS DUE 01/08/26 *CLBL,<empty>,0,,,
AAQC,ACCELERATE ACQUISITION CORP COM CL A,ACCELERATE ACQUISITION CORP,488 M,,,
AAQC/U,ACCELERATE ACQUISITION CORP UNIT 1 COM & 1/3 WT EXP,ACCELERATE ACQUISITION CORP,0,,,
AAQC/WS,ACCELERATE ACQUISITION CORP WARRANT,<empty>,0,,,
ABRpD,ARBOR REALTY TRUST INC 6.375% SER D CUM PFD STK *CLBL,<empty>,0,,,
ACIC,ATLAS CREST INVT CORP 1:1 EXC 9/17/21 03945R102,ATLAS CREST INVESTMENT CORP,620 M,,,
ACIC/U,ATLAS CREST INVT CORP 1:1 EXC 9/17/21 03945R102,ATLAS CREST INVESTMENT CORP,0,,,
ACIC/WS,ATLAS CREST INVT CORP 1:1 EXC 9/17/21 03945R110,<empty>,0,,,
ACII,ATLAS CREST INVESTMENT CORP II COM CL A,ATLAS CREST INVESTMENT CORP II,424 M,,,
ACII/U,ATLAS CREST INVESTMENT CORP II UNIT 1 COM CL A & 1/4 WT EX,<empty>,0,,,
ACII/WS,ATLAS CREST INVESTMENT CORP II WARRANT,<empty>,0,,,
ACPpA,ABERDEEN INCOME CREDIT STRATEG 5.250% CM PERP PFD STK S *CLB,<empty>,0,,,
ACRO/U,ACROPOLIS INFRASTRUCTURE ACQ C UNIT 1 CL A & 1/3 WT EXP,ACROPOLIS INFRASTRUCTURE ACQUISITION CORP,0,,,
ACRpC,ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FL *CLBL,<empty>,0,,,
ACRpD,ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PRF SER D *CLBL,<empty>,0,,,
ADEX/U,ADIT EDTECH ACQUISITION CORP UNIT 1 COM & 1/2 WT EXP,<empty>,0,,,
ADEX/WS,ADIT EDTECH ACQUISITION CORP WARRANT,<empty>,0,,,
ADF/U,ALDEL FINANCIAL INC 1:1 EXC 12/3/21 405166109,ALDEL FINANCIAL INC,0,,,
ADF/WS,ALDEL FINANCIAL INC 1:1 EXC 12/3/21 405166117,<empty>,0,,,
AEFC,AEGON FUNDING COMPANY LLC 5.1% SUB NTS DUE 15/12/4 *CLBL,<empty>,0,,,
AELpA,AMER EQY INVEST LIFE HOLDING C 5.95% DEP SH REP 1/1000 *CLBL,<empty>,0,,,
AELpB,AMER EQY INVEST LIFE HOLDING C 6.625% DEP SH REP 1/1000 *CLBL,<empty>,0,,,
AES,AES CORP COM,AES CORP,"14,830 M",,,
AESC,AES CORP CORP UNIT,<empty>,0,,,
AFGB,AMERICAN FINANCIAL GROUP INC 5.875%SUB DEB 30/03/2059 *CLBL,<empty>,0,,,
AFGD,AMERICAN FINANCIAL GROUP INC 5.625% SUB DEB DUE 01/06 *CLBL,<empty>,0,,,
AFGE,AMERICAN FINANCIAL GROUP INC 4.5% SUB DEB DUE 15/09 *CLBL,<empty>,0,,,
AGAC/U,AFRICAN GOLD ACQUISITION CORP UNITS 1 CL A & 3 QUARTERS,AFRICAN GOLD ACQUISITION CORP,0,,,
AGAC/WS,AFRICAN GOLD ACQUISITION CORP WARRANT,<empty>,0,,,
AGCB,ALTIMETER GROWTH CORP 2 COM CL A,ALTIMETER GROWTH 2 CORP,561 M,,,
AGMpC,FED AGRI MTG CORP 6% NON-CUM PFD SERC,<empty>,0,,,
AGMpD,FED AGRI MTG CORP 5.7% NON CUM PFD STK SER D,<empty>,0,,,
AGMpE,FED AGRI MTG CORP 5.7% NON CUM PFD STK SER E,<empty>,0,,,
AGMpF,FED AGRI MTG CORP 5.25% NON CUM PRF STOCK,<empty>,0,,,
AGMpG,FED AGRI MTG CORP 4.875% NON CUMULATIVE PRF,<empty>,0,,,
AGOpE,ASSURED GUARANTY MUNI HLDGS IN REDEMPTION $25.00/SH 9/27/21,<empty>,0,,,
AGOpF,ASSURED GUARANTY MUNI HLDGS IN REDEMPTION $25.00/SH 9/27/21,<empty>,0,,,
AHLpC,ASPEN INSURANCE HLDGS 5.95%NON CUM FXD FLTG RA *CLBL,<empty>,0,,,
