Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
A,AGILENT TECHNOLOGIES INC COM,"AGILENT TECHNOLOGIES, INC.","38,226 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
AAL,AMERICAN AIRLINES GROUP INC COM,AMERICAN AIRLINES GROUP INC,"10,849 M",Industrials,Airlines,Airlines
AAP,ADVANCE AUTO PARTS INC COM,"ADVANCE AUTO PARTS, INC.","11,522 M",Consumer Discretionary,Specialty Retail,Automotive Retail
AAPL,APPLE INC COM,APPLE INC.,"2,371,857 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
ABBV,ABBVIE INC COM,ABBVIE INC,"261,391 M",Health Care,Biotechnology,Biotechnology
ABC,AMERISOURCEBERGEN CORPORATION COM,AMERISOURCEBERGEN CORPORATION,"31,082 M",Health Care,Health Care Providers & Services,Health Care Distributors
ABMD,ABIOMED INC COM,"ABIOMED, INC.","12,020 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ABT,ABBOTT LABORATORIES COM,ABBOTT LABORATORIES,"204,685 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ACAD,ACADIA PHARMACEUTICALS INC COM,"ACADIA PHARMACEUTICALS, INC.","2,741 M",Health Care,Biotechnology,Biotechnology
ACC,AMER CAMPUS COMMUNITIES INC COM USD0.01,"AMERICAN CAMPUS COMMUNITIES, INC.","9,085 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ACGL,ARCH CAPITAL GROUP COM,ARCH CAPITAL GROUP LTD.,"17,648 M",Financials,Insurance,Property & Casualty Insurance
ACHC,ACADIA HEALTHCARE COM,ACADIA HEALTHCARE COMPANY INC,"6,426 M",Health Care,Health Care Providers & Services,Health Care Facilities
ACM,AECOM COM,AECOM,"9,836 M",Industrials,Construction & Engineering,Construction & Engineering
ACN,ACCENTURE PLC COM,ACCENTURE PLC,"192,788 M",Information Technology,IT Services,IT Consulting & Other Services
ADBE,ADOBE INC COM,ADOBE INC,"205,412 M",Information Technology,Software,Application Software
ADI,ANALOG DEVICES INC COM,ANALOG DEVICES INCORPORATED,"86,199 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
ADM,ARCHER-DANIELS-MIDLAND CO COM,ARCHER-DANIELS-MIDLAND CO,"49,698 M",Consumer Staples,Food Products,Agricultural Products
ADP,AUTOMATIC DATA PROCESSING INC COM,"AUTOMATIC DATA PROCESSING, INC.","92,193 M",Information Technology,IT Services,Data Processing & Outsourced Services
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP COM,ADAPTIVE BIOTECHNOLOGIES CORP,"1,077 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
ADSK,AUTODESK INC COM,"AUTODESK, INC.","45,409 M",Information Technology,Software,Application Software
ADT,ADT INC COM,ADT INC,"6,793 M",Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
AEE,AMEREN CORP COM,AMEREN CORPORATION,"24,318 M",Utilities,Multi-Utilities,Multi-Utilities
AEP,AMERICAN ELECTRIC POWER CO INC COM,"AMERICAN ELECTRIC POWER COMPANY, INC.","52,292 M",Utilities,Electric Utilities,Electric Utilities
AES,AES CORP COM,AES CORP,"14,800 M",,,
AFG,AMERICAN FINANCIAL GROUP INC COM,"AMERICAN FINANCIAL GROUP, INC.","11,871 M",Financials,Insurance,Property & Casualty Insurance
AFL,AFLAC INC COM,AFLAC INCORPORATED,"38,019 M",Financials,Insurance,Life & Health Insurance
AGCO,AGCO CORP COM,AGCO CORPORATION,"9,697 M",Industrials,Machinery,Agricultural & Farm Machinery
AGIO,AGIOS PHARMACEUTICALS INC COM,AGIOS PHARMACEUTICALS INC,"1,089 M",Health Care,Biotechnology,Biotechnology
AGNC,AGNC INVESTMENT CORP COM,AGNC INVESTMENT CORP,"6,353 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
AGO,ASSURED GUARANTY LTD COM,<empty>,"3,737 M",Financials,Insurance,Property & Casualty Insurance
AGR,AVANGRID INC COM,AVANGRID INC,"18,372 M",Utilities,Electric Utilities,Electric Utilities
AIG,AMER INTL GRP INC COM,"AMERICAN INTERNATIONAL GROUP, INC.","45,385 M",Financials,Insurance,Multi-line Insurance
AIV,APARTMENT INVEST AND MGMT CO COM USD0.01 CL A (POST REV,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,954 M,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
AIZ,ASSURANT INC COM,"ASSURANT, INC.","9,652 M",Financials,Insurance,Multi-line Insurance
AJG,GALLAGHER (ARTHUR J) & CO COM,ARTHUR J. GALLAGHER & CO.,"34,105 M",Financials,Insurance,Insurance Brokers
AKAM,AKAMAI TECHNOLOGIES COM,"AKAMAI TECHNOLOGIES, INC.","16,268 M",Information Technology,IT Services,Internet Services & Infrastructure
AL,AIR LEASE CORP COM CL A,AIR LEASE CORP,"4,164 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
ALB,ALBEMARLE CORP COM,ALBEMARLE CORPORATION,"29,095 M",Materials,Chemicals,Specialty Chemicals
ALGN,ALIGN TECHNOLOGY INC COM,"ALIGN TECHNOLOGY, INC.","21,865 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies
ALK,ALASKA AIR GROUP INC COM,ALASKA AIR GROUP INCORPORATED,"5,911 M",Industrials,Airlines,Airlines
ALKS,ALKERMES PLC COM,<empty>,"4,896 M",Health Care,Biotechnology,Biotechnology
ALL,ALLSTATE CORP COM,ALLSTATE CORP,"36,650 M",Financials,Insurance,Property & Casualty Insurance
ALLE,ALLEGION PLC COM,ALLEGION PLC,"9,925 M",Industrials,Building Products,Building Products
