Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
A,AGILENT TECHNOLOGIES INC COM,"AGILENT TECHNOLOGIES, INC.","38,190 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
AAL,AMERICAN AIRLINES GROUP INC COM,AMERICAN AIRLINES GROUP INC,"10,840 M",Industrials,Airlines,Airlines
AAP,ADVANCE AUTO PARTS INC COM,"ADVANCE AUTO PARTS, INC.","11,522 M",Consumer Discretionary,Specialty Retail,Automotive Retail
AAPL,APPLE INC COM,APPLE INC.,"2,370,482 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
ABBV,ABBVIE INC COM,ABBVIE INC,"261,320 M",Health Care,Biotechnology,Biotechnology
ABC,AMERISOURCEBERGEN CORPORATION COM,AMERISOURCEBERGEN CORPORATION,"31,082 M",Health Care,Health Care Providers & Services,Health Care Distributors
ABMD,ABIOMED INC COM,"ABIOMED, INC.","12,020 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ABT,ABBOTT LABORATORIES COM,ABBOTT LABORATORIES,"204,668 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ACN,ACCENTURE PLC COM,ACCENTURE PLC,"192,681 M",Information Technology,IT Services,IT Consulting & Other Services
ADBE,ADOBE INC COM,ADOBE INC,"205,481 M",Information Technology,Software,Application Software
ADI,ANALOG DEVICES INC COM,ANALOG DEVICES INCORPORATED,"86,231 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
ADM,ARCHER-DANIELS-MIDLAND CO COM,ARCHER-DANIELS-MIDLAND CO,"49,693 M",Consumer Staples,Food Products,Agricultural Products
ADP,AUTOMATIC DATA PROCESSING INC COM,"AUTOMATIC DATA PROCESSING, INC.","92,184 M",Information Technology,IT Services,Data Processing & Outsourced Services
ADSK,AUTODESK INC COM,"AUTODESK, INC.","45,392 M",Information Technology,Software,Application Software
AEE,AMEREN CORP COM,AMEREN CORPORATION,"24,304 M",Utilities,Multi-Utilities,Multi-Utilities
AEP,AMERICAN ELECTRIC POWER CO INC COM,"AMERICAN ELECTRIC POWER COMPANY, INC.","52,292 M",Utilities,Electric Utilities,Electric Utilities
AES,AES CORP COM,AES CORP,"14,795 M",,,
AFL,AFLAC INC COM,AFLAC INCORPORATED,"38,012 M",Financials,Insurance,Life & Health Insurance
AIG,AMER INTL GRP INC COM,"AMERICAN INTERNATIONAL GROUP, INC.","45,389 M",Financials,Insurance,Multi-line Insurance
AIZ,ASSURANT INC COM,"ASSURANT, INC.","9,652 M",Financials,Insurance,Multi-line Insurance
AJG,GALLAGHER (ARTHUR J) & CO COM,ARTHUR J. GALLAGHER & CO.,"34,046 M",Financials,Insurance,Insurance Brokers
AKAM,AKAMAI TECHNOLOGIES COM,"AKAMAI TECHNOLOGIES, INC.","16,268 M",Information Technology,IT Services,Internet Services & Infrastructure
ALB,ALBEMARLE CORP COM,ALBEMARLE CORPORATION,"29,084 M",Materials,Chemicals,Specialty Chemicals
ALGN,ALIGN TECHNOLOGY INC COM,"ALIGN TECHNOLOGY, INC.","21,883 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies
ALK,ALASKA AIR GROUP INC COM,ALASKA AIR GROUP INCORPORATED,"5,909 M",Industrials,Airlines,Airlines
ALL,ALLSTATE CORP COM,ALLSTATE CORP,"36,661 M",Financials,Insurance,Property & Casualty Insurance
ALLE,ALLEGION PLC COM,ALLEGION PLC,"9,925 M",Industrials,Building Products,Building Products
AMAT,APPLIED MATERIALS INC COM,"APPLIED MATERIALS, INC.","100,253 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AMCR,AMCOR PLC COM,<empty>,"20,130 M",Materials,Containers & Packaging,Paper Packaging
AMD,ADVANCED MICRO DEVICES INC COM,"ADVANCED MICRO DEVICES, INC.","174,713 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
AME,AMETEK INC COM,"AMETEK, INC.","28,284 M",Industrials,Electrical Equipment,Electrical Components & Equipment
AMGN,AMGEN INC COM,AMGEN INC.,"133,481 M",Health Care,Biotechnology,Biotechnology
AMP,AMERIPRISE FINANCIAL INC COM,"AMERIPRISE FINANCIAL, INC.","30,103 M",Financials,Capital Markets,Asset Management & Custody Banks
AMT,AMERICAN TOWER CORP COM USD0.01,AMERICAN TOWER CORPORATION,"122,608 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
AMZN,AMAZON COM INC COM,"AMAZON.COM, INC.","1,246,104 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
ANET,ARISTA NETWORKS INC COM,ARISTA NETWORKS INC,"32,226 M",Information Technology,Communications Equipment,Communications Equipment
ANSS,ANSYS INC COM,"ANSYS, INC.","22,595 M",Information Technology,Software,Application Software
ANTM,ANTHEM INC COM,ANTHEM INC,"118,751 M",Health Care,Health Care Providers & Services,Managed Health Care
AON,AON PLC (IE) COM CL A,AON PLC,"57,533 M",Financials,Insurance,Insurance Brokers
AOS,SMITH A O CORP COM,A O SMITH CORP,"9,493 M",Industrials,Building Products,Building Products
APA,APA CORPORATION COM,APA CORP (US),"16,211 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
APD,AIR PRODUCTS & CHEMICALS INC COM,"AIR PRODUCTS AND CHEMICALS, INC.","56,009 M",Materials,Chemicals,Industrial Gases
APH,AMPHENOL CORP COM CL A,AMPHENOL CORPORATION,"42,239 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
APTV,APTIV PLC COM,APTIV PLC,"28,952 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
ARE,ALEXANDRIA REAL ESTATE EQUITIE COM USD0.01,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","26,748 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
ATO,ATMOS ENERGY CORP COM,ATMOS ENERGY CORPORATION,"16,097 M",Utilities,Gas Utilities,Gas Utilities
ATVI,ACTIVISION BLIZZARD INC COM,ACTIVISION BLIZZARD INCORPORATION,"60,854 M",Communication Services,Entertainment,Interactive Home Entertainment
AVB,AVALONBAY COMMUNITIES INC COM USD0.01,AVALONBAY COMMUNITIES INC.,"28,687 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
AVGO,BROADCOM INC COM,BROADCOM INC,"238,662 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
AVY,AVERY DENNISON CORP COM,AVERY DENNISON CORPORATION,"14,395 M",Materials,Containers & Packaging,Paper Packaging
AWK,AMER WATER WORKS CO INC COM,AMERICAN WATER WORKS CO INCORPORATED,"28,144 M",Utilities,Water Utilities,Water Utilities
AXP,AMERICAN EXPRESS CO COM,AMERICAN EXPRESS COMPANY,"125,648 M",Financials,Consumer Finance,Consumer Finance
AZO,AUTOZONE INC COM,"AUTOZONE, INC.","40,281 M",Consumer Discretionary,Specialty Retail,Automotive Retail
BA,BOEING CO COM,BOEING CO,"82,379 M",Industrials,Aerospace & Defense,Aerospace & Defense
BAC,BANK OF AMERICA CORPORATION COM,BANK OF AMERICA CORPORATION,"292,868 M",Financials,Banks,Diversified Banks
BALL,BALL CORP COM,BALL CORPORATION,"23,044 M",,,
BAX,BAXTER INTERNATIONAL INC COM,BAXTER INTERNATIONAL INC.,"37,105 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
