Watchlist '.Equity / Holdings / S&P 500'

.Equity / Holdings / S&P 500
Symbol,Market Cap,Sector,Industry,Sub-Industry,%Change,%IV_Change,IV_PERC,RSI,Beta,DTE (earnings)
UAL,"16,814 M",Industrials,Airlines,Airlines,+1.20%,-0.02,75.0,94.2,1.589,30.0
AAL,"13,107 M",Industrials,Airlines,Airlines,-0.20%,0.08,85.0,82.92,1.742,30.0
CERN,"27,545 M",Health Care,Health Care Technology,Health Care Technology,+0.39%,-0.17,NaN,81.87,.7978,8.0
HST,"14,687 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs,-0.39%,0.08,90.0,80.06,1.304,8.0
IBM,"124,330 M",Information Technology,IT Services,IT Consulting & Other Services,-1.14%,-0.16,69.0,77.05,1.119,30.0
TWTR,"37,362 M",Communication Services,Interactive Media & Services,Interactive Media & Services,+3.93%,0.0,95.0,75.81,.8189,4.0
DOW,"49,875 M",Materials,Chemicals,Commodity Chemicals,-1.45%,0.0,62.0,68.85,1,30.0
WY,"31,019 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,-0.50%,0.07,74.0,63.28,1.732,5.0
DAL,"28,009 M",Industrials,Airlines,Airlines,-2.33%,0.1,79.0,60.98,1.3,30.0
WDC,"15,477 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",-1.55%,0.03,95.0,59.17,1.665,4.0
KHC,"52,891 M",Consumer Staples,Food Products,Packaged Foods & Meats,-1.86%,0.18,93.0,55.14,1,3.0
PG,"386,887 M",Consumer Staples,Household Products,Household Products,-0.84%,-0.11,66.0,51.88,.4345,30.0
PPL,"21,992 M",Utilities,Electric Utilities,Electric Utilities,-1.58%,0.09,78.0,51.14,.8555,9.0
TSLA,"1,038,727 M",Consumer Discretionary,Automobiles,Automobile Manufacturers,-0.37%,0.04,46.0,50.88,1.5,30.0
MO,"100,660 M",Consumer Staples,Tobacco,Tobacco,-1.77%,0.16,78.0,50.59,.625,4.0
