Symbol,Company Name,Market Cap,Sector,Industry,Sub-Industry,Custom17,IV%
ACWI,<empty>,"16,268 M",,,,loading,23.0
AGG,<empty>,"15,291 M",,,,loading,59.0
AMLP,<empty>,"3,361 M",,,,loading,12.0
ARKF,<empty>,0,,,,loading,20.0
ARKG,<empty>,0,,,,loading,9.0
ARKK,<empty>,0,,,,loading,18.0
ASHR,<empty>,0,,,,loading,69.0
BITO,<empty>,537 M,,,,loading,87.0
BKLN,<empty>,"8,058 M",,,,loading,29.0
BNO,<empty>,15 M,,,,loading,66.0
CIBR,<empty>,0,,,,loading,19.0
CLOU,<empty>,577 M,,,,loading,18.0
COPX,<empty>,118 M,,,,loading,52.0
CORN,<empty>,84 M,,,,loading,1.0
DBC,<empty>,"3,093 M",,,,loading,13.0
DIA,<empty>,"28,088 M",,,,loading,23.0
EEM,<empty>,"33,813 M",,,,loading,37.0
EFA,<empty>,"47,801 M",,,,loading,18.0
EMB,<empty>,"14,785 M",,,,loading,52.0
EWC,<empty>,"3,615 M",,,,loading,27.0
EWI,<empty>,"1,856 M",,,,loading,34.0
EWT,<empty>,"12,979 M",,,,loading,75.0
EWU,<empty>,"4,810 M",,,,loading,29.0
EWW,<empty>,901 M,,,,loading,14.0
EWY,<empty>,"3,106 M",,,,loading,50.0
EWZ,<empty>,"5,176 M",,,,loading,92.0
EZU,<empty>,"16,768 M",,,,loading,18.0
FCG,<empty>,652 M,,,,loading,8.0
FEZ,<empty>,"3,574 M",,,,loading,19.0
FXI,<empty>,"4,492 M",,,,loading,76.0
GDX,<empty>,"2,055 M",,,,loading,35.0
GDXJ,<empty>,"4,009 M",,,,loading,46.0
GLD,<empty>,"39,319 M",,,,loading,17.0
GOVT,<empty>,"12,624 M",,,,loading,64.0
HYG,<empty>,"13,206 M",,,,loading,22.0
IBB,<empty>,"8,687 M",,,,loading,6.0
ICLN,<empty>,"5,251 M",,,,loading,16.0
IEMG,<empty>,0,,,,loading,55.0
ILF,<empty>,"1,179 M",,,,loading,98.0
INDA,<empty>,"5,582 M",,,,loading,47.0
ITB,<empty>,"2,990 M",,,,loading,32.0
IWM,<empty>,"40,483 M",,,,loading,6.0
IWN,<empty>,"12,584 M",,,,loading,17.0
JETS,<empty>,0,,,,loading,0.0
JNK,<empty>,"7,343 M",,,,loading,23.0
KBE,<empty>,"3,918 M",,,,loading,92.0
KIE,<empty>,178 M,,,,loading,18.0
KRE,<empty>,"3,937 M",,,,loading,11.0
KWEB,<empty>,2.5 M,,,,loading,47.0
LABU,<empty>,91 M,,,,loading,9.0
LQD,<empty>,"31,254 M",,,,loading,56.0
MCHI,<empty>,"6,331 M",,,,loading,75.0
MDY,<empty>,"28,687 M",,,,loading,19.0
MJ,<empty>,0,,,,loading,96.0
MSOS,<empty>,0,,,,loading,100.0
MTUM,<empty>,"13,048 M",,,,loading,10.0
MUB,<empty>,"29,386 M",,,,loading,20.0
NUGT,<empty>,499 M,,,,loading,54.0
OIH,<empty>,"2,780 M",,,,loading,35.0
QQQ,<empty>,"104,769 M",,,,loading,30.0
SH,<empty>,"2,906 M",,,,loading,29.0
SILJ,<empty>,0,,,,loading,29.0
SKYY,<empty>,"3,029 M",,,,loading,32.0
SLV,<empty>,"10,192 M",,,,loading,62.0
SMH,<empty>,"6,945 M",,,,loading,19.0
SMLV,<empty>,0,,,,loading,NaN
SOXL,<empty>,"4,780 M",,,,loading,27.0
SOYB,<empty>,4.8 M,,,,loading,2.0
SPHB,<empty>,251 M,,,,loading,23.0
SPLV,<empty>,"9,991 M",,,,loading,23.0
SPSM,<empty>,0,,,,loading,23.0
SPXL,<empty>,"1,964 M",,,,loading,19.0
SPXS,<empty>,410 M,,,,loading,26.0
SPY,<empty>,"344,645 M",,,,loading,31.0
SPYG,<empty>,780 M,,,,loading,21.0
SPYV,<empty>,73 M,,,,loading,19.0
