Watchlist 'ShadowTrader Core Sectors'

ShadowTrader Core Sectors
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
$DJT,Dow Jones Transportation Average,<empty>,0,,,
$DJUSCL,Dow Jones U.S. Coal Index,<empty>,0,,,
$DJUSCA,Dow Jones U.S. Gambling Index,<empty>,0,,,
$DJUSHC,Dow Jones U.S. Health Care Index,<empty>,0,,,
$DJUSHB,Dow Jones U.S. Home Construction Index,<empty>,0,,,
$DJUSNS,Dow Jones U.S. Internet Index,<empty>,0,,,
$DJUSRR,Dow Jones U.S. Railroads Index,<empty>,0,,,
$DJUSRE,Dow Jones U.S. Real Estate Index,<empty>,0,,,
$DJUSRT,Dow Jones U.S. Retail Index,<empty>,0,,,
$DJSINS,Dow Jones U.S. Select Insurance Index,<empty>,0,,,
$DJUSSW,Dow Jones U.S. Software Index,<empty>,0,,,
OSX,PHLX OIL SERVICE INDEX,<empty>,0,,,
SOX,PHLX SEMI CONDUCTOR INDEX,<empty>,0,,,
UTY,PHLX UTILITY INDEX,<empty>,0,,,
CEX,S&P CHEMICAL SECTOR INDEX,<empty>,0,,,
TOB,DJUSTO BACCO INDEX,<empty>,0,,,
BKX,PHLX KBW BANK INDEX,<empty>,0,,,
XAL,AMEX AIRLINE INDEX,<empty>,0,,,
BTK,NYSE ARCA BIOTECHNOLOGY INDEX,<empty>,0,,,
XNG,NYSE ARCA NATURAL GAS INDEX,<empty>,0,,,
XTC,NORTH AMERICAN TELECOM INDEX,<empty>,0,,,
XOI,NYSE ARCA OIL INDEX,<empty>,0,,,
DRG,NYSE ARCA PHARMACEUTICAL INDEX,<empty>,0,,,
XBD,SECURITIES BROKER/DEALER INDEX INDEX,<empty>,0,,,
