Watchlist 'DOW JONES INDUSTRIAL AVERAGE'

DOW JONES INDUSTRIAL AVERAGE
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
CVX,CHEVRON CORPORATION COM,CHEVRON CORPORATION,"349,246 M",Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
DOW,DOW INC COM,DOW INC,"49,009 M",Materials,Chemicals,Commodity Chemicals
BA,BOEING CO COM,BOEING CO,"82,330 M",Industrials,Aerospace & Defense,Aerospace & Defense
HON,HONEYWELL INTERNATIONAL INC COM,HONEYWELL INTERNATIONAL INCORPORATED,"132,886 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
MMM,3M COMPANY COM,3M COMPANY,"83,248 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
CAT,CATERPILLAR INC COM,CATERPILLAR INC.,"118,926 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
NKE,NIKE INC COM CL B,NIKE INC.,"191,433 M",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
MCD,MCDONALD'S CORPORATION COM,MCDONALD'S CORP,"184,680 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
HD,HOME DEPOT INC COM,HOME DEPOT INC,"314,205 M",Consumer Discretionary,Specialty Retail,Home Improvement Retail
WBA,WALGREENS BOOTS ALLIANCE INC COM,WALGREENS BOOTS ALLIANCE INC,"37,272 M",Consumer Staples,Food & Staples Retailing,Drug Retail
WMT,WALMART INC COM,WALMART INC,"347,786 M",Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
KO,COCA-COLA CO COM,COCA-COLA CO,"273,497 M",Consumer Staples,Beverages,Soft Drinks
PG,PROCTER & GAMBLE CO COM,PROCTER & GAMBLE CO,"349,458 M",Consumer Staples,Household Products,Household Products
UNH,UNITEDHEALTH GROUP INC COM,UNITEDHEALTH GROUP INCORPORATED,"458,691 M",Health Care,Health Care Providers & Services,Managed Health Care
AMGN,AMGEN INC COM,AMGEN INC.,"133,125 M",Health Care,Biotechnology,Biotechnology
MRK,MERCK & CO INC COM,"MERCK & CO. , INC.","228,048 M",Health Care,Pharmaceuticals,Pharmaceuticals
JNJ,JOHNSON & JOHNSON COM,JOHNSON & JOHNSON,"466,837 M",Health Care,Pharmaceuticals,Pharmaceuticals
JPM,JP MORGAN CHASE & CO COM,JPMORGAN CHASE & CO.,"384,078 M",Financials,Banks,Diversified Banks
AXP,AMERICAN EXPRESS CO COM,AMERICAN EXPRESS COMPANY,"125,738 M",Financials,Consumer Finance,Consumer Finance
GS,GOLDMAN SACHS GROUP INC COM,GOLDMAN SACHS GROUP INC,"110,023 M",Financials,Capital Markets,Investment Banking & Brokerage
TRV,TRAVELERS COMPANIES INC COM,TRAVELERS COMPANIES INC,"42,387 M",Financials,Insurance,Property & Casualty Insurance
IBM,INTERNATIONAL BUS MACH CORP COM,INTERNATIONAL BUSINESS MACHINES CORPORATION,"127,765 M",Information Technology,IT Services,IT Consulting & Other Services
V,VISA INC COM CL A,VISA INCORPORATION,"451,617 M",Information Technology,IT Services,Data Processing & Outsourced Services
CRM,SALESFORCE INC COM,SALESFORCE INC,"187,020 M",Information Technology,Software,Application Software
MSFT,MICROSOFT CORP COM,MICROSOFT CORPORATION,"2,035,419 M",Information Technology,Software,Systems Software
CSCO,CISCO SYSTEMS INC COM,CISCO SYSTEMS INCORPORATED,"188,745 M",Information Technology,Communications Equipment,Communications Equipment
AAPL,APPLE INC COM,APPLE INC.,"2,370,482 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
INTC,INTEL CORP COM,INTEL CORPORATION,"179,384 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
VZ,VERIZON COMMUNICATIONS COM,VERIZON COMMUNICATIONS,"214,518 M",Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
DIS,WALT DISNEY COMPANY (THE) COM,WALT DISNEY CO,"197,977 M",Communication Services,Entertainment,Movies & Entertainment
