Watchlist 'FUTURES'

FUTURES
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
/ES[M22],"E-mini S&P 500 Index Futures,ETH",<empty>,0,,,
/MES[M22],Micro E-mini S&P 500,<empty>,0,,,
/NQ[M22],"E-mini Nasdaq 100 Index Futures,ETH",<empty>,0,,,
/MNQ[M22],Micro E-mini Nasdaq-100,<empty>,0,,,
/YM[M22],"Mini Dow Jones Industrial Average Futures,ETH",<empty>,0,,,
/MYM[M22],Micro E-mini Dow,<empty>,0,,,
/RTY[M22],E-mini Russell 2000 Index Futures,<empty>,0,,,
/M2K[M22],Micro E-mini Russell 2000,<empty>,0,,,
/NKD[M22],"Nikkei 225 Stock Average Index Futures,ETH",<empty>,0,,,
/EMD[M22],"E-mini S&P MidCap 400 Index Futures,ETH",<empty>,0,,,
/VX[M22],CBOE Volatility Index (VIX) Futures,<empty>,0,,,
/VXM[M22],Mini CBOE Volatility Index (VIX) Futures,<empty>,0,,,
/BTC[M22],Bitcoin Futures,<empty>,0,,,
/MBT[M22],Micro Bitcoin Futures,<empty>,0,,,
/ETH[M22],"Ether Futures,ETH",<empty>,0,,,
/MET[M22],Micro Ether Futures,<empty>,0,,,
/CL[N22],"Light Sweet Crude Oil Futures,ETH",<empty>,0,,,
/MCL[N22],"Micro Crude Oil Futures,ETH",<empty>,0,,,
/QM[N22],"NYMEX miNY Light Sweet Crude Oil Futures,ETH",<empty>,0,,,
/NG[N22],"Natural Gas Futures,ETH",<empty>,0,,,
/QG[N22],"miNY Natural Gas Futures, ETH",<empty>,0,,,
/RB[N22],"RBOB Gasoline Futures,ETH",<empty>,0,,,
/HO[N22],"Heating Oil Futures,ETH",<empty>,0,,,
/BZ[Q22],"Brent Crude Oil,ETH",<empty>,0,,,
/GC[Q22],"Gold Futures, ETH",<empty>,0,,,
/MGC[Q22],"E-micro Gold Futures,ETH",<empty>,0,,,
/QO[Q22],"50oz, miNY Gold Futures, ETH",<empty>,0,,,
/SI[N22],"Silver Futures, ETH",<empty>,0,,,
/SIL[N22],"1000-oz Silver Futures, ETH",<empty>,0,,,
/QI[N22],"2,500oz miNY Silver Futures, ETH",<empty>,0,,,
/HG[N22],"Copper Futures, ETH",<empty>,0,,,
/MHG[N22],"Micro Copper Futures,ETH",<empty>,0,,,
/QC[N22],"Copper miNY Futures, ETH",<empty>,0,,,
/PL[N22],"Platinum Futures, ETH",<empty>,0,,,
/PA[U22],"Palladium Futures, ETH",<empty>,0,,,
/ZB[U22],"30-Year U.S. Treasury Bond Futures,ETH",<empty>,0,,,
/ZN[U22],"10-Year U.S. Treasury Note Futures,ETH",<empty>,0,,,
/ZF[U22],"5-Year U.S. Treasury Note Futures,ETH",<empty>,0,,,
/ZT[U22],"2-Year U.S. Treasury Note Futures,ETH",<empty>,0,,,
/UB[U22],"Ultra T-Bond Futures, ETH",<empty>,0,,,
/TN[U22],Ultra 10-Year U.S. Treasury Note Futures,<empty>,0,,,
/10Y[M22],Micro 10-year yield futures,<empty>,0,,,
/GE[M22],"Eurodollar Futures,ETH",<empty>,0,,,
/ZQ[M22],"Thirty-Day Fed Funds Futures,ETH",<empty>,0,,,
/6A[M22],"Australian Dollar Futures,ETH",<empty>,0,,,
/M6A[M22],"E-Micro AUD/USD Future,ETH",<empty>,0,,,
/6B[M22],"British Pound Futures,ETH",<empty>,0,,,
/M6B[M22],"E-Micro GBP/USD Future,ETH",<empty>,0,,,
/6C[M22],"Canadian Dollar Futures,ETH",<empty>,0,,,
/MCD[M22],"Micro Canadian Dollar,ETH",<empty>,0,,,
/6E[M22],"Euro FX Futures,ETH",<empty>,0,,,
/E7[M22],"E-mini Euro FX Futures,ETH",<empty>,0,,,
/M6E[M22],"E-Micro EUR/USD Future,ETH",<empty>,0,,,
/6J[M22],"Japanese Yen Futures,ETH",<empty>,0,,,
/J7[M22],"E-mini Japanese Yen Futures,ETH",<empty>,0,,,
/6L[N22],"Brazilian Real,ETH",<empty>,0,,,
/6M[M22],"Mexican Peso Futures,ETH",<empty>,0,,,
/6N[M22],"New Zealand Dollar Futures,ETH",<empty>,0,,,
/6S[M22],"Swiss Franc Futures,ETH",<empty>,0,,,
/MSF[M22],"Micro Swiss Franc,ETH",<empty>,0,,,
/6Z[M22],"South African Rand,ETH",<empty>,0,,,
/ZC[N22],"Corn Futures,ETH",<empty>,0,,,
/XC[N22],"E-Mini Corn Futures, ETH",<empty>,0,,,
/ZS[N22],"Soybean Futures,ETH",<empty>,0,,,
