Watchlist 'NASDAQ 100'

NASDAQ 100
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
HON,HONEYWELL INTERNATIONAL INC COM,HONEYWELL INTERNATIONAL INCORPORATED,"133,096 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
PCAR,PACCAR INC COM,PACCAR INC,"30,626 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
FAST,FASTENAL COM,FASTENAL COMPANY,"31,399 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
CTAS,CINTAS CORP COM,CINTAS CORPORATION,"40,440 M",Industrials,Commercial Services & Supplies,Diversified Support Services
CPRT,COPART INC COM,"COPART, INC.","27,429 M",Industrials,Commercial Services & Supplies,Diversified Support Services
VRSK,VERISK ANALYTICS INC COM,VERISK ANALYTICS INCORPORATION,"27,303 M",Industrials,Professional Services,Research & Consulting Services
CSX,CSX CORP COM,CSX CORPORATION,"70,555 M",Industrials,Road & Rail,Railroads
ODFL,OLD DOMINION FREIGHT LINE INC COM,"OLD DOMINION FREIGHT LINE, INC.","30,408 M",Industrials,Road & Rail,Trucking
TSLA,TESLA INC COM,TESLA INC,"747,574 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
LCID,LUCID GROUP INC COM,LUCID GROUP INC,"31,631 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
LULU,LULULEMON ATHLETICA INC COM,<empty>,"38,681 M",Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
ABNB,AIRBNB INC COM CL A,AIRBNB INC,"76,041 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
MAR,MARRIOTT INTERNATIONAL INC COM CL A,"MARRIOTT INTERNATIONAL, INC.","56,829 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
BKNG,BOOKING HOLDINGS INC COM,BOOKING HOLDINGS INC,"95,199 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
SBUX,STARBUCKS CORP COM,STARBUCKS CORPORATION,"91,328 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
MELI,MERCADOLIBRE INC COM,<empty>,"40,916 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
JD,JD.COM INC ADR,JD.COM INC,"88,356 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
AMZN,AMAZON COM INC COM,"AMAZON.COM, INC.","1,247,161 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
