"Positions for CUSTACCS as of 05:17 PM ET, 06/10/2025","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Individual ...099","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type"
"CNC 07/03/2025 53.00 P","PUT CENTENE CORP DEL $53 EXP 07/03/25","1","$0.775","$0.0996","14.75%","$77.5","-$0.16","-0.21%","$77.66","-$0.16","-0.21%","N/A","--","Option"
"CNC 07/03/2025 54.00 P","PUT CENTENE CORP DEL $54 EXP 07/03/25","-1","$1.075","$0.0501","4.89%","-$107.5","-$3.16","-3.03%","-$104.34","-$3.16","-3.03%","N/A","--","Option"
"GDXJ 06/20/2025 63.50 C","CALL VANECK VCT JR GLDMR$63.5 EXP 06/20/25","-1","$5.3","-$1.1319","-17.6%","-$530.00","$113.19","17.6%","-$279.34","-$250.66","-89.73%","N/A","--","Option"
"GDXJ 06/20/2025 64.00 C","CALL VANECK VCT JR GLDMR$64 EXP 06/20/25","1","$4.85","-$1.1356","-18.97%","$485.00","-$113.56","-18.97%","$257.66","$227.34","88.23%","N/A","--","Option"
"GLD 07/18/2025 310.00 C","CALL SPDR GOLD TR $310 EXP 07/18/25","-2","$6.15","-$0.25","-3.91%","-$1230.00","$50.00","3.91%","-$1165.66","-$64.34","-5.52%","N/A","--","Option"
"GLD 07/18/2025 311.00 C","CALL SPDR GOLD TR $311 EXP 07/18/25","2","$5.7","-$0.275","-4.6%","$1140.00","-$55.00","-4.6%","$1109.32","$30.68","2.77%","N/A","--","Option"
"GLD 08/15/2025 294.00 C","CALL SPDR GOLD TR $294 EXP 08/15/25","-1","$18.15","-$0.3171","-1.72%","-$1815.00","$31.71","1.72%","-$624.32","-$1190.68","-190.72%","N/A","--","Option"
"GLD 08/15/2025 295.00 C","CALL SPDR GOLD TR $295 EXP 08/15/25","1","$17.5","-$0.2434","-1.37%","$1750.00","-$24.34","-1.37%","$595.66","$1154.34","193.79%","N/A","--","Option"
"GLD 08/15/2025 301.00 C","CALL SPDR GOLD TR $301 EXP 08/15/25","-1","$13.375","-$0.3889","-2.83%","-$1337.5","$38.89","2.83%","-$1116.31","-$221.19","-19.81%","N/A","--","Option"
"GLD 08/15/2025 302.00 C","CALL SPDR GOLD TR $302 EXP 08/15/25","1","$12.775","-$0.3859","-2.93%","$1277.5","-$38.59","-2.93%","$1072.66","$204.84","19.1%","N/A","--","Option"
"GLD 09/30/2025 309.00 C","CALL SPDR GOLD TR $309 EXP 09/30/25","-1","$12.525","-$0.2291","-1.8%","-$1252.5","$22.91","1.8%","-$859.34","-$393.16","-45.75%","N/A","--","Option"
"GLD 09/30/2025 311.00 C","CALL SPDR GOLD TR $311 EXP 09/30/25","1","$11.6","-$0.2471","-2.09%","$1160.00","-$24.71","-2.09%","$800.66","$359.34","44.88%","N/A","--","Option"
"GLD 12/19/2025 314.00 C","CALL SPDR GOLD TR $314 EXP 12/19/25","-1","$15.025","-$0.226","-1.48%","-$1502.5","$22.6","1.48%","-$1556.34","$53.84","3.46%","N/A","--","Option"
"GLD 12/19/2025 315.00 C","CALL SPDR GOLD TR $315 EXP 12/19/25","1","$14.65","-$0.1795","-1.21%","$1465.00","-$17.95","-1.21%","$1515.66","-$50.66","-3.34%","N/A","--","Option"
"GLD 12/19/2025 316.00 C","CALL SPDR GOLD TR $316 EXP 12/19/25","-3","$14.225","-$0.1911","-1.33%","-$4267.5","$57.33","1.33%","-$4034.02","-$233.48","-5.79%","N/A","--","Option"
"GLD 12/19/2025 317.00 C","CALL SPDR GOLD TR $317 EXP 12/19/25","2","$13.8","-$0.2026","-1.45%","$2760.00","-$40.52","-1.45%","$2774.32","-$14.32","-0.52%","N/A","--","Option"
"GLD 12/19/2025 318.00 C","CALL SPDR GOLD TR $318 EXP 12/19/25","1","$13.425","-$0.2","-1.47%","$1342.5","-$20.00","-1.47%","$1133.66","$208.84","18.42%","N/A","--","Option"
