Watchlist 'REITs'

REITs
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
CLNS,COLONY NORTHSTAR INC N/C 6/25/18 19626G108,<empty>,<empty>,,,
CYS,CYS INVESTMENTS INC MRG $.0965 & .468:1 8/1/18,<empty>,<empty>,,,
DDR,SITE CENTERS CORP N/C 10/12/18 82981J109,<empty>,<empty>,,,
EQKR,EQK REALTY INVESTMENT 1 SBI NPV,<empty>,<empty>,,,
GGP,GGP INC CSH MRG $0.312/SH 8/28/18,<empty>,<empty>,,,
GPT,GRAMERCY PROPERTY TRUST INC CSH MRG $27.50/SH 10/10/18,<empty>,<empty>,,,
HIRT,HINES REAL ESTATE INVT TR INC COM,<empty>,<empty>,,,
KBSR,KBS REAL ESTATE INVT TR INC REIT,<empty>,"1,008 M",,,
MTGE,MTGE INVESTMENT CORP MRG $9.82 & .9519:1 9/10/18,<empty>,<empty>,,,
QCP,QUALITY CARE PROPERTIES INC CSH MRG $20.75/SH 7/27/18,<empty>,<empty>,,,
SLD,SUTHERLAND ASSET MGMT CORPORA N/C 10/1/18 75574U101,<empty>,534 M,,,
ORGN,ORIGIN MATERIALS INC COM,ORIGIN MATERIALS INC,"1,059 M",Materials,Chemicals,Commodity Chemicals
WM,WASTE MANAGEMENT INC COM,"WASTE MANAGEMENT, INC.","65,844 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
CXW,CORECIVIC INC COM USD0.01,CORECIVIC INC,"1,514 M",Industrials,Commercial Services & Supplies,Security & Alarm Services
GEO,GEO GROUP INC (THE) COM USD0.01 NEW,GEO GROUP INC,861 M,Industrials,Commercial Services & Supplies,Security & Alarm Services
IOR,INCOME OPP RTY INV COM STK USD0.01,INCOME OPPORTUNITY REALTY INVESTORS INC,53 M,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
VRTA,VESTIN REALTY MORTGAGE I INC USD0.01,VESTIN REALTY MORTGAGE I INC,4.3 M,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
VRTB,VESTIN REALTY MORTGAGE II INC COM USD0.0001(POST REV SPLT,VESTIN REALTY MORTGAGE II INC,5.6 M,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
ABR,ARBOR REALTY TRUST INC COM USD0.01,"ARBOR REALTY TRUST, INC.","2,623 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ACRE,ARES COMMERCIAL REAL ESTATE COM USD0.01,ARES COMMERCIAL REAL ESTATE CORP,792 M,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
AGNC,AGNC INVESTMENT CORP COM,AGNC INVESTMENT CORP,"6,369 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
AJX,GREAT AJAX CORP COM USD0.01,GREAT AJAX CORP,240 M,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ANH,ANWORTH MORTGAGE ASSET CORP MRG .61/SH & 0.1688:1 3/22/21,ANWORTH MORTGAGE ASSET CORPORATION,296 M,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
