Watchlist 'Russell 2000'

Russell 2000
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
AA,ALCOA CORPORATION COM,ALCOA CORP,"11,568 M",Materials,Metals & Mining,Aluminum
AAN,THE AARONS COMPANY INC COM,AARON'S COMPANY INC,560 M,Consumer Discretionary,Specialty Retail,Homefurnishing Retail
AAOI,APPLIED OPTOELECTRONICS INC COM,APPLIED OPTOELECTRONICS INC,62 M,Information Technology,Communications Equipment,Communications Equipment
AAON,AAON INC COM,"AAON, INC.","2,939 M",Industrials,Building Products,Building Products
AAT,AMERICAN ASSETS TRUST INC COM USD0.01,"AMERICAN ASSETS TRUST, INC","1,991 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AAWW,ATLAS AIR WORLDWIDE HLDGS INC COM,ATLAS AIR WORLDWIDE HOLDINGS INCORPORATED,"1,997 M",Industrials,Air Freight & Logistics,Air Freight & Logistics
AB,ALLIANCEBERNSTEIN HOLDING LP SBI,ALLIANCEBERNSTEIN HOLDING LP,"4,296 M",Financials,Capital Markets,Asset Management & Custody Banks
ABCB,AMERIS BANCORP COM,AMERIS BANCORP,"3,150 M",Financials,Banks,Regional Banks
ABEO,ABEONA THERAPEUTICS INC COM,ABEONA THERAPEUTICS INC,23 M,Health Care,Biotechnology,Biotechnology
ABG,ASBURY AUTOMOTIVE GROUP INC COM,"ASBURY AUTOMOTIVE GROUP, INCORPORATED","3,893 M",Consumer Discretionary,Specialty Retail,Automotive Retail
ABM,ABM INDUSTRIES INC COM,ABM INDUSTRIES INCORPORATED,"3,279 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
ABR,ARBOR REALTY TRUST INC COM USD0.01,"ARBOR REALTY TRUST, INC.","2,619 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ABTX,ALLEGIANCE BANCSHA COM,ALLEGIANCE BANCSHARES INC,828 M,Financials,Banks,Regional Banks
AC,ASSOCIATED CAP GROUP INC COM CL A,ASSOCIATED CAPITAL GROUP INC,870 M,Financials,Capital Markets,Asset Management & Custody Banks
ACA,ARCOSA INC COM,ARCOSA INC,"2,578 M",Industrials,Construction & Engineering,Construction & Engineering
ACCO,ACCO BRANDS CORPORATION COM,ACCO BRANDS CORPORATION,703 M,Industrials,Commercial Services & Supplies,Office Services & Supplies
ACEL,ACCEL ENTERTAINMENT INC COM CL A,ACCEL ENTERTAINMENT INC,"1,019 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
ACIW,ACI WORLDWIDE INC COM,ACI WORLDWIDE INCORPORATION,"3,168 M",Information Technology,Software,Application Software
ACLS,AXCELIS TECHNOLOGIES INC COM,"AXCELIS TECHNOLOGIES, INC.","2,067 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
ACNB,ACNB CORP COM,ACNB CORPORATION,304 M,Financials,Banks,Regional Banks
ACRE,ARES COMMERCIAL REAL ESTATE COM USD0.01,ARES COMMERCIAL REAL ESTATE CORP,790 M,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ACRX,ACELRX PHARMACEUTICALS INC COM,ACELRX PHARMACEUTICALS INC,38 M,Health Care,Pharmaceuticals,Pharmaceuticals
ACTG,ACACIA RESEARCH CORP COM,ACACIA RESEARCH - ACACIA TECHNOLOGIES,205 M,Industrials,Professional Services,Research & Consulting Services
ADC,AGREE REALTY CORP COM USD0.0001,AGREE REALTY CORPORATION,"5,254 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
ADES,ADV EMISSIONS SOLUTIONS INC COM,ADVANCED EMISSIONS SOLUTIONS INC,95 M,Materials,Chemicals,Specialty Chemicals
ADMA,ADMA BIOLOGICS INC COM,ADMA BIOLOGICS INC,399 M,Health Care,Biotechnology,Biotechnology
ADNT,ADIENT PLC COM,ADIENT PLC,"3,418 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
ADTN,ADTRAN INC COM,"ADTRAN, INC.",951 M,Information Technology,Communications Equipment,Communications Equipment
ADUS,ADDUS HOMECARE CORP COM,ADDUS HOMECARE CORPORATION,"1,330 M",Health Care,Health Care Providers & Services,Health Care Services
ADVM,ADVERUM BIOTECHNOLOGIES INC COM,ADVERUM BIOTECHNOLOGIES INC,92 M,Health Care,Biotechnology,Biotechnology
AE,ADAMS RESOURCES & ENERGY INC COM,"ADAMS RESOURCES & ENERGY, INC.",162 M,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
AEIS,ADVANCED ENERGY INDUSTRIES COM,"ADVANCED ENERGY INDUSTRIES, INC.","3,058 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
AEL,AMER EQY INVEST LIFE HOLDING C COM,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,"3,742 M",Financials,Insurance,Life & Health Insurance
AEO,AMERICAN EAGLE OUTFITTERS INC COM,AMERICAN EAGLE OUTFITTERS INCORPORATED,"2,099 M",Consumer Discretionary,Specialty Retail,Apparel Retail
AERI,AERIE PHARMACEUTICALS INC COM,AERIE PHARMACEUTICALS INC,269 M,Health Care,Pharmaceuticals,Pharmaceuticals
AFMD,AFFIMED N V COM,AFFIMED NV,481 M,Health Care,Biotechnology,Biotechnology
AGEN,AGENUS INC COM,AGENUS INCORPORATION,451 M,Health Care,Biotechnology,Biotechnology
AGFS,AGROFRESH SOLUTIONS INC COM,<empty>,95 M,Materials,Chemicals,Fertilizers & Agricultural Chemicals
AGLE,AEGLEA BIOTHERAPEUTICS INC COM,AEGLEA BIO THERAPEUTICS INC,40 M,Health Care,Biotechnology,Biotechnology
AGM,FED AGRI MTG CORP COM CL C,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,"1,136 M",Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
AGRX,AGILE THERAPEUTICS INC COM,AGILE THERAPEUTICS INC,6.1 M,Health Care,Pharmaceuticals,Pharmaceuticals
AGS,PLAYAGS INC COM,PLAYAGS INC,223 M,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
AGTC,APPLIED GENETIC TECH CORP COM,APPLIED GENETIC TECHNOLOGIES CORP,45 M,Health Care,Biotechnology,Biotechnology
AGX,ARGAN INC COM,"ARGAN, INC.",602 M,Industrials,Construction & Engineering,Construction & Engineering
AGYS,AGILYSYS INC COM,"AGILYSYS, INC.","1,034 M",Information Technology,Software,Application Software
AHCO,ADAPTHEALTH CORP COM,ADAPTHEALTH CORP,"2,420 M",Health Care,Health Care Providers & Services,Health Care Distributors
AHH,ARMADA HOFFLER PPTYS INC COM USD0.01,ARMADA HOFFLER PROPERTIES INC,939 M,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AI,C3.AI INC COM CL A,C3.AI INCX,"1,996 M",Information Technology,Software,Application Software
AIMC,ALTRA INDUSTRIAL MOTION CORP COM,ALTRA INDUSTRIAL MOTION CORP,"2,615 M",Industrials,Machinery,Industrial Machinery
AIN,ALBANY INTERNATIONAL CORP COM CL A,ALBANY INTERNATIONAL CORP,"2,676 M",Industrials,Machinery,Industrial Machinery
AIR,AAR CORP COM,AAR CORP.,"1,743 M",Industrials,Aerospace & Defense,Aerospace & Defense
AIT,APPLIED INDL TECHS COM,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.","4,050 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
AJRD,AEROJET ROCKETDYNE HLDGS INC COM,AEROJET ROCKETDYNE HOLDINGS INC,"3,316 M",Industrials,Aerospace & Defense,Aerospace & Defense
AJX,GREAT AJAX CORP COM USD0.01,GREAT AJAX CORP,240 M,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
AKBA,AKEBIA THERAPEUTICS INC COM,AKEBIA THERAPEUTICS INC,71 M,Health Care,Biotechnology,Biotechnology
AKR,ACADIA REALTY TRUST SBI USD0.001,ACADIA REALTY TRUST,"1,827 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
AKRO,AKERO THERAPEUTICS INC COM,AKERO THERAPEUTICS INC,300 M,Health Care,Biotechnology,Biotechnology
AKTS,AKOUSTIS TECHNOLOGIES INC COM,AKOUSTIS TECHNOLOGIES INC,233 M,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
ALBO,ALBIREO PHARMA INC COM,ALBIREO PHARMA INC,401 M,Health Care,Biotechnology,Biotechnology
ALCO,ALICO INC COM,"ALICO, INC.",314 M,Consumer Staples,Food Products,Agricultural Products
ALE,ALLETE INC COM,"ALLETE, INC.","3,519 M",Utilities,Electric Utilities,Electric Utilities
ALEC,ALECTOR INC COM,ALECTOR INC,739 M,Health Care,Biotechnology,Biotechnology
ALEX,ALEXANDER & BALDWIN INC COM USD0.01,ALEXANDER & BALDWIN INC (HAWAII),"1,460 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
ALG,ALAMO GROUP INC COM,ALAMO GROUP INC.,"1,460 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
ALGT,ALLEGIANT TRAVEL COMPANY COM,ALLEGIANT TRAVEL COMPANY,"2,643 M",Industrials,Airlines,Airlines
