Watchlist 'S&P 400'

S&P 400
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
ACC,AMER CAMPUS COMMUNITIES INC COM USD0.01,"AMERICAN CAMPUS COMMUNITIES, INC.","9,086 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ACHC,ACADIA HEALTHCARE COM,ACADIA HEALTHCARE COMPANY INC,"6,426 M",Health Care,Health Care Providers & Services,Health Care Facilities
ACIW,ACI WORLDWIDE INC COM,ACI WORLDWIDE INCORPORATION,"3,172 M",Information Technology,Software,Application Software
ACM,AECOM COM,AECOM,"9,839 M",Industrials,Construction & Engineering,Construction & Engineering
ADNT,ADIENT PLC COM,ADIENT PLC,"3,419 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
ADS,ALLIANCE DATA SYSTEM COM,<empty>,"2,837 M",Information Technology,IT Services,Data Processing & Outsourced Services
AEO,AMERICAN EAGLE OUTFITTERS INC COM,AMERICAN EAGLE OUTFITTERS INCORPORATED,"2,099 M",Consumer Discretionary,Specialty Retail,Apparel Retail
AFG,AMERICAN FINANCIAL GROUP INC COM,"AMERICAN FINANCIAL GROUP, INC.","11,871 M",Financials,Insurance,Property & Casualty Insurance
AGCO,AGCO CORP COM,AGCO CORPORATION,"9,706 M",Industrials,Machinery,Agricultural & Farm Machinery
AIRC,APARTMENT INCOME REIT CORP COM USD0.01,APARTMENT INCOME REIT CORP,"6,900 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ALE,ALLETE INC COM,"ALLETE, INC.","3,519 M",Utilities,Electric Utilities,Electric Utilities
AM,ANTERO MIDSTREAM CORPORATION COM,ANTERO MIDSTREAM CORP,"5,260 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
AMED,AMEDISYS INC COM,"AMEDISYS, INC.","3,744 M",Health Care,Health Care Providers & Services,Health Care Services
AMG,AFFILIATED MANAGERS GROUP COM,"AFFILIATED MANAGERS GROUP, INC.","5,139 M",Financials,Capital Markets,Asset Management & Custody Banks
AMKR,AMKOR TECHNOLOGY INC COM,"AMKOR TECHNOLOGY, INC","4,989 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AN,AUTONATION INC COM,"AUTONATION, INC.","6,897 M",Consumer Discretionary,Specialty Retail,Automotive Retail
ARW,ARROW ELECTRONICS INC COM,"ARROW ELECTRONICS, INC.","8,079 M",Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
ARWR,ARROWHEAD PHARMACEUTICALS INC COM,ARROWHEAD PHARMACEUTICALS INC,"3,681 M",Health Care,Biotechnology,Biotechnology
ASB,ASSOCIATED BANC-CORP COM,ASSOCIATED BANC-CORP,"3,135 M",Financials,Banks,Regional Banks
