Symbol,Company Name,Market Cap,Sector,Industry,Sub-Industry,Custom17,IV%
A,"AGILENT TECHNOLOGIES, INC.","45,828 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,loading,8.0
AAL,AMERICAN AIRLINES GROUP INC,"9,372 M",Industrials,Airlines,Airlines,loading,10.0
AAP,"ADVANCE AUTO PARTS, INC.","8,921 M",Consumer Discretionary,Specialty Retail,Automotive Retail,loading,19.0
AAPL,APPLE INC.,"2,403,239 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",loading,25.0
ABBV,ABBVIE INC,"281,878 M",Health Care,Biotechnology,Biotechnology,loading,5.0
ABC,AMERISOURCEBERGEN CORPORATION,"33,510 M",Health Care,Health Care Providers & Services,Health Care Distributors,loading,2.0
ABMD,"ABIOMED, INC.","17,035 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment,loading,1.0
ABT,ABBOTT LABORATORIES,"184,854 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment,loading,4.0
ACN,ACCENTURE PLC,"185,577 M",Information Technology,IT Services,IT Consulting & Other Services,loading,37.0
ADBE,ADOBE INC,"156,104 M",Information Technology,Software,Application Software,loading,68.0
ADI,ANALOG DEVICES INCORPORATED,"87,027 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,loading,12.0
ADM,ARCHER-DANIELS-MIDLAND CO,"53,165 M",Consumer Staples,Food Products,Agricultural Products,loading,18.0
ADP,"AUTOMATIC DATA PROCESSING, INC.","108,925 M",Information Technology,IT Services,Data Processing & Outsourced Services,loading,17.0
ADSK,"AUTODESK, INC.","42,539 M",Information Technology,Software,Application Software,loading,22.0
AEE,AMEREN CORPORATION,"22,786 M",Utilities,Multi-Utilities,Multi-Utilities,loading,47.0
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.","48,884 M",Utilities,Electric Utilities,Electric Utilities,loading,48.0
AES,AES CORP,"19,023 M",,,,loading,23.0
AFL,AFLAC INCORPORATED,"44,769 M",Financials,Insurance,Life & Health Insurance,loading,4.0
AIG,"AMERICAN INTERNATIONAL GROUP, INC.","45,292 M",Financials,Insurance,Multi-line Insurance,loading,1.0
AIZ,"ASSURANT, INC.","6,712 M",Financials,Insurance,Multi-line Insurance,loading,35.0
AJG,ARTHUR J. GALLAGHER & CO.,"41,603 M",Financials,Insurance,Insurance Brokers,loading,12.0
AKAM,"AKAMAI TECHNOLOGIES, INC.","14,454 M",Information Technology,IT Services,Internet Services & Infrastructure,loading,25.0
ALB,ALBEMARLE CORPORATION,"33,260 M",Materials,Chemicals,Specialty Chemicals,loading,14.0
ALGN,"ALIGN TECHNOLOGY, INC.","15,332 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies,loading,22.0
ALK,ALASKA AIR GROUP INCORPORATED,"5,878 M",Industrials,Airlines,Airlines,loading,0.0
ALL,ALLSTATE CORP,"35,631 M",Financials,Insurance,Property & Casualty Insurance,loading,25.0
ALLE,ALLEGION PLC,"10,013 M",Industrials,Building Products,Building Products,loading,2.0
AMAT,"APPLIED MATERIALS, INC.","92,630 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,loading,16.0
AMCR,<empty>,"17,987 M",Materials,Containers & Packaging,Paper Packaging,loading,6.0
AMD,"ADVANCED MICRO DEVICES, INC.","123,184 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,loading,20.0
AME,"AMETEK, INC.","32,629 M",Industrials,Electrical Equipment,Electrical Components & Equipment,loading,5.0
AMGN,AMGEN INC.,"151,216 M",Health Care,Biotechnology,Biotechnology,loading,30.0
AMP,"AMERIPRISE FINANCIAL, INC.","35,394 M",Financials,Capital Markets,Asset Management & Custody Banks,loading,6.0
AMT,AMERICAN TOWER CORPORATION,"101,618 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,loading,42.0
AMZN,"AMAZON.COM, INC.","960,282 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,loading,52.0
ANET,ARISTA NETWORKS INC,"41,922 M",Information Technology,Communications Equipment,Communications Equipment,loading,15.0
ANSS,"ANSYS, INC.","21,513 M",Information Technology,Software,Application Software,loading,9.0
AON,AON PLC,"62,933 M",Financials,Insurance,Insurance Brokers,loading,3.0
AOS,A O SMITH CORP,"9,400 M",Industrials,Building Products,Building Products,loading,27.0
APA,APA CORP (US),"15,040 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,loading,2.0
APD,"AIR PRODUCTS AND CHEMICALS, INC.","68,347 M",Materials,Chemicals,Industrial Gases,loading,13.0
APH,AMPHENOL CORPORATION,"47,649 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,loading,1.0
APTV,APTIV PLC,"28,967 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment,loading,20.0
