Watchlist 'S&P 500 Sectors & Industries'

S&P 500 Sectors & Industries
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry,%IV_Change,IV_PERC
$SP500#55104010,S&P 500 Water Utilities (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#551040,S&P 500 Water Utilities (Industry),<empty>,0,,,,NaN,NaN
$SP500#5510TR,S&P 500 Utilities (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#5510,S&P 500 Utilities (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#20304020,S&P 500 Trucking (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#2030TR,S&P 500 Transportation (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#2030,S&P 500 Transportation (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#20107010,S&P 500 Trading Companies & Distributors (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#201070,S&P 500 Trading Companies & Distributors (Industry),<empty>,0,,,,NaN,NaN
$SP500#30203010,S&P 500 Tobacco (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#302030,S&P 500 Tobacco (Industry),<empty>,0,,,,NaN,NaN
$SP500#25101020,S&P 500 Tires & Rubber (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#252030,"S&P 500 Textiles, Apparel & Luxury Goods (Industry)",<empty>,0,,,,NaN,NaN
$SP500#5010TR,S&P 500 Telecommunication Services (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#5010,S&P 500 Telecommunication Services (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#45202030,"S&P 500 Technology Hardware, Storage & Peripherals (Sub Ind)",<empty>,0,,,,NaN,NaN
$SP500#452020,"S&P 500 Technology Hardware, Storage & Peripherals (Industry)",<empty>,0,,,,NaN,loading
$SP500#4520TR,S&P 500 Technology Hardware & Equipment (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#4520,S&P 500 Technology Hardware & Equipment (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#45103020,S&P 500 Systems Software (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#15104050,S&P 500 Steel (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25504040,S&P 500 Specialty Stores (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#255040,S&P 500 Specialty Retail (Industry),<empty>,0,,,,NaN,NaN
$SP500#15101050,S&P 500 Specialty Chemicals (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#60101080,S&P 500 Specialized REITs (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25302020,S&P 500 Specialized Consumer Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#451030,S&P 500 Software (Industry),<empty>,0,,,,NaN,NaN
$SP500#4510TR,S&P 500 Software & Services (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#4510,S&P 500 Software & Services (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#30201030,S&P 500 Soft Drinks (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#45301020,S&P 500 Semiconductors (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#4530TR,S&P 500 Semiconductors & Semiconductor Equipment (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#4530,S&P 500 Semiconductors & Semiconductor Equipment (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#45301010,S&P 500 Semiconductor Equipment (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#453010,S&P 500 Semiconductor & Semiconductor Equipment (Industry),<empty>,0,,,,NaN,NaN
$SP500#203040,S&P 500 Road & Rail (Industry),<empty>,0,,,,NaN,NaN
$SP500#2550TR,S&P 500 Retailing (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#2550,S&P 500 Retailing (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#60101070,S&P 500 Retail REITs (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25301040,S&P 500 Restaurants (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#60101060,S&P 500 Residential REITs (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20202020,S&P 500 Research & Consulting Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#40301050,S&P 500 Reinsurance (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#40101015,S&P 500 Regional Banks (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#60102040,S&P 500 Real Estate Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#601020,S&P 500 Real Estate Management & Development (Industry),<empty>,0,,,,NaN,NaN
$SP500#6010TR,S&P 500 Real Estate (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#6010,S&P 500 Real Estate (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#20304010,S&P 500 Railroads (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#50201040,S&P 500 Publishing & Printing (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#40301040,S&P 500 Property & Casualty Insurance (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#202020,S&P 500 Professional Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#3520TR,"S&P 500 Pharmaceuticals, Biotechnology & Life Sciences (Industry Group) (TR)",<empty>,0,,,,NaN,NaN
$SP500#3520,"S&P 500 Pharmaceuticals, Biotechnology & Life Sciences (Industry Group)",<empty>,0,,,,NaN,loading
$SP500#35202010,S&P 500 Pharmaceuticals (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#352020,S&P 500 Pharmaceuticals (Industry),<empty>,0,,,,NaN,loading
$SP500#30302010,S&P 500 Personal Products (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#303020,S&P 500 Personal Products (Industry),<empty>,0,,,,NaN,NaN
$SP500#15103020,S&P 500 Paper Packaging (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#30202030,S&P 500 Packaged Foods & Meats (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#101020,"S&P 500 Oil, Gas & Consumable Fuels (Industry)",<empty>,0,,,,NaN,NaN
$SP500#10102040,S&P 500 Oil & Gas Storage & Transportation (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#10102030,S&P 500 Oil & Gas Refining & Marketing (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#10102020,S&P 500 Oil & Gas Exploration & Production (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#10101020,S&P 500 Oil & Gas Equipment & Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#10101010,S&P 500 Oil & Gas Drilling (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#60101040,S&P 500 Office REITs (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#255030,S&P 500 Multiline Retail (Industry),<empty>,0,,,,NaN,NaN
$SP500#40301030,S&P 500 Multi-line Insurance (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#55103010,S&P 500 Multi-Utilities (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#551030,S&P 500 Multi-Utilities (Industry),<empty>,0,,,,NaN,NaN
$SP500#40201030,S&P 500 Multi-Sector Holdings (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#50202010,S&P 500 Movies & Entertainment (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25102020,S&P 500 Motorcycle Manufacturers (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#151040,S&P 500 Metals & Mining (Industry),<empty>,0,,,,NaN,NaN
$SP500#15103010,S&P 500 Metal & Glass Containers (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#502010,S&P 500 Media (Industry),<empty>,0,,,,NaN,NaN
$SP500#5020TR,S&P 500 Media & Entertainment (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#5020,S&P 500 Media & Entertainment (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#1510TR,S&P 500 Materials (Industry Group) (TR),<empty>,0,,,,NaN,loading
$SP500#1510,S&P 500 Materials (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#35102030,S&P 500 Managed Health Care (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#201060,S&P 500 Machinery (Industry),<empty>,0,,,,NaN,NaN
$SP500#35203010,S&P 500 Life Sciences Tools & Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#352030,S&P 500 Life Sciences Tools & Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#40301020,S&P 500 Life & Health Insurance (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25202010,S&P 500 Leisure Products (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#252020,S&P 500 Leisure Products (Industry),<empty>,0,,,,NaN,NaN
$SP500#40203020,S&P 500 Investment Banking & Brokerage (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#45102030,S&P 500 Internet Services & Infrastructure (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25502020,S&P 500 Internet & Direct Marketing Retail (Sub Industry),<empty>,0,,,,NaN,NaN
$SP500#255020,S&P 500 Internet & Direct Marketing Retail (Industry),<empty>,0,,,,NaN,loading
$SP500#50203010,S&P 500 Interactive Media & Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#502030,S&P 500 Interactive Media & Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#50202020,S&P 500 Interactive Home Entertainment (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#50101020,S&P 500 Integrated Telecommunication Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#10102010,S&P 500 Integrated Oil & Gas (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#40301010,S&P 500 Insurance Brokers (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#403010,S&P 500 Insurance (Industry),<empty>,0,,,,NaN,NaN
$SP500#4030TR,S&P 500 Insurance (Industry Group) (TR),<empty>,0,,,,NaN,loading
$SP500#4030,S&P 500 Insurance (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#20TR,S&P 500 Industrials (Sector) (TR),<empty>,0,,,,NaN,NaN
$SP500#60101020,S&P 500 Industrial REITs (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20106020,S&P 500 Industrial Machinery (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#15101040,S&P 500 Industrial Gases (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20105010,S&P 500 Industrial Conglomerates (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#201050,S&P 500 Industrial Conglomerates (Industry),<empty>,0,,,,NaN,NaN
$SP500#551050,S&P 500 Independent Power and Renewable Electricity Producers (Industry),<empty>,0,,,,NaN,NaN
$SP500#55105010,S&P 500 Independent Power Producers & Energy Traders (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#451020,S&P 500 IT Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#45102010,S&P 500 IT Consulting & Other Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#30101040,S&P 500 HyperMarkets & Super Centers (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20202010,S&P 500 Human Resource & Employment Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25201050,S&P 500 Housewares & Specialties (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#30301010,S&P 500 Household Products (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#303010,S&P 500 Household Products (Industry),<empty>,0,,,,NaN,NaN
$SP500#252010,S&P 500 Household Durables (Industry),<empty>,0,,,,NaN,NaN
$SP500#25201040,S&P 500 Household Appliances (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#3030TR,S&P 500 Household & Personal Products (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#3030,S&P 500 Household & Personal Products (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#25301020,"S&P 500 Hotels, Resorts & Cruise Lines (Sub Ind)",<empty>,0,,,,NaN,NaN
$SP500#253010,S&P 500 Hotels Restaurants & Leisure (Industry),<empty>,0,,,,NaN,NaN
$SP500#60101030,S&P 500 Hotel & Resort REITs (Sub Ind),<empty>,0,,,,NaN,NaN
