Account,Symbol,Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Underlying Last Price,Bid,Ask,P/L Day w/ Percent Bar,P/L Open w/ Percent Bar,Ext,D's Opn,Days To Expiration,Indicators,PoP,Chg %,β Delta,Theta,Gamma,Vega,IV Rank,IV/Expiration,IV Idx 5d Chg,Delta,Trade Price
5WU24740,AEP   230421C00092500,OPTION,-1,Apr 21,28d,92.5,Call,89.09,0.95,1.10,-72.00,-39.00,102.00,23d,28d,,73%,216.7%,-3.04,3.364,-5.93,-8.69,46.1,26.1%,1.2%,-29.15,0.63
5WU24740,AEP   230421C00095000,OPTION,1,Apr 21,28d,95,Call,89.09,0.35,0.45,25.00,12.00,-40.00,23d,28d,,17%,300.0%,1.55,-2.103,4.33,5.87,46.1,26.1%,1.2%,14.87,-0.28
5WU24740,ARKK  230421C00033500,OPTION,1,Apr 21,28d,33.5,Call,37.74,5.00,5.10,0.00,0.00,-81.00,0d,28d,,44%,-14.12%,12.32,-3.073,4.63,3.11,17.9,56.3%,-2.8%,78.80,-5.05
5WU24740,ARKK  230421C00042000,OPTION,-1,Apr 21,28d,42,Call,37.74,0.63,0.68,0.00,0.00,65.00,0d,28d,,78%,-18.75%,-3.66,2.651,-6.01,-3.29,17.9,56.3%,-2.8%,-23.42,0.65
5WU24740,ARKK  230421P00031000,OPTION,1,Apr 21,28d,31,Put,37.74,0.39,0.41,-8.00,-2.00,-40.00,8d,28d,,9%,-17.39%,-1.79,-2.177,2.91,2.07,17.9,56.3%,-2.8%,-11.44,-0.42
5WU24740,ARKK  230421P00034000,OPTION,-1,Apr 21,28d,34,Put,37.74,0.88,0.92,11.00,-4.00,90.00,8d,28d,,79%,-12.62%,3.65,3.155,-5.04,-3.29,17.9,56.3%,-2.8%,23.37,0.86
5WU24740,ARKK  230421P00035000,OPTION,2,Apr 21,28d,35,Put,37.74,1.14,1.15,-26.00,29.00,-228.00,21d,28d,,25%,-9.45%,-9.00,-6.793,11.60,7.32,17.9,56.3%,-2.8%,-57.55,-0.99
5WU24740,ARKK  230421P00036000,OPTION,-2,Apr 21,28d,36,Put,37.74,1.45,1.49,24.00,-47.00,294.00,21d,28d,,69%,-6.96%,10.94,7.184,-12.94,-7.95,17.9,56.3%,-2.8%,70.01,1.23
5WU24740,ARKK  230421P00039000,OPTION,1,Apr 21,28d,39,Put,37.74,2.80,2.86,-12.00,88.00,-157.00,2d,28d,,45%,-2.92%,-8.86,-3.508,7.47,4.22,17.9,56.3%,-2.8%,-56.65,-1.95
5WU24740,ARKK  230421P00040500,OPTION,-1,Apr 21,28d,40.5,Put,37.74,3.70,3.80,11.00,-109.00,99.00,2d,28d,,49%,9.72%,10.60,3.071,-7.09,-3.85,17.9,56.3%,-2.8%,67.78,2.66
5WU24740,ARKK  230428P00036500,OPTION,2,Apr 28,35d,36.5,Put,37.74,1.88,1.95,-28.52,-35.00,-382.00,4d,35d,,30%,66.2%,-12.17,-6.665,12.08,9.15,17.9,56.7%,-2.8%,-77.86,-2.08
5WU24740,ARKK  230428P00038500,OPTION,-2,Apr 28,35d,38.5,Put,37.74,2.76,2.94,25.62,30.00,418.00,4d,35d,,63%,-2.54%,16.20,6.611,-13.16,-9.51,17.9,56.7%,-2.8%,103.63,3.00
