Symbol,Company Name,Market Cap,Sector,Industry,Sub-Industry,%IV_Change,IV_PERC
NAVI,NAVIENT CORP,"2,072 M",Financials,Consumer Finance,Consumer Finance,-0.75,0.0
VIX,<empty>,0,,,,0.09,4.0
VRAY,VIEWRAY INC,503 M,Health Care,Health Care Equipment & Supplies,Health Care Equipment,-0.01,16.0
BCRX,BIOCRYST PHARMACEUTICALS INC,"1,830 M",Health Care,Biotechnology,Biotechnology,-0.18,31.0
UVXY,<empty>,168 M,,,,0.22,41.0
F,FORD MOTOR COMPANY,"51,252 M",Consumer Discretionary,Automobiles,Automobile Manufacturers,0.01,55.0
AX,AXOS FINANCIAL INC,"2,234 M",Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,-0.01,56.0
DBA,<empty>,810 M,,,,-0.01,56.0
NYCB,NEW YORK COMMUNITY BANCORP INC,"4,306 M",Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,-0.02,58.0
EWT,<empty>,"14,519 M",,,,-0.06,59.0
NKTR,NEKTAR THERAPEUTICS,618 M,Health Care,Pharmaceuticals,Pharmaceuticals,0.06,60.0
MFA,MFA FINANCIAL INCORPORATED,"1,358 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,-0.35,60.0
ATUS,ALTICE USA INC,"4,547 M",Communication Services,Media,Cable & Satellite,0.08,60.0
SCO,<empty>,554 M,,,,-0.01,61.0
FFIV,F5 INC,"9,473 M",Information Technology,Communications Equipment,Communications Equipment,-0.01,62.0
DKS,"DICK'S SPORTING GOODS, INC.","6,241 M",Consumer Discretionary,Specialty Retail,Specialty Stores,0.01,65.0
HBI,"HANESBRANDS, INC.","3,791 M",Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",0.09,68.0
MAC,MACERICH CO,"2,146 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,-0.03,69.0
ZTS,ZOETIS INC,"76,002 M",Health Care,Pharmaceuticals,Pharmaceuticals,-0.03,69.0
RMD,RESMED INC.,"30,502 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment,-0.09,71.0
DOV,DOVER CORPORATION,"18,512 M",Industrials,Machinery,Industrial Machinery,-0.01,71.0
LOW,LOWE'S COMPANIES INC.,"119,089 M",Consumer Discretionary,Specialty Retail,Home Improvement Retail,0.06,71.0
NVDA,NVIDIA CORPORATION,"424,350 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,0.04,71.0
WMT,WALMART INC,"333,598 M",Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,0.01,71.0
CSCO,CISCO SYSTEMS INCORPORATED,"180,091 M",Information Technology,Communications Equipment,Communications Equipment,0.1,73.0
WSM,"WILLIAMS-SONOMA, INC.","8,337 M",Consumer Discretionary,Specialty Retail,Homefurnishing Retail,-0.02,73.0
XLY,<empty>,"15,877 M",,,,-0.11,74.0
SPGI,S&P GLOBAL INC,"113,105 M",Financials,Capital Markets,Financial Exchanges & Data,-0.03,74.0
INDA,<empty>,"5,245 M",,,,0.03,74.0
VWO,<empty>,"52,359 M",,,,0.09,74.0
UAA,"UNDER ARMOUR, INC.","4,676 M",Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",0.0,75.0
NDAQ,NASDAQ INC,"24,733 M",Financials,Capital Markets,Financial Exchanges & Data,-0.09,75.0
HCA,HCA HEALTHCARE INC,"58,128 M",Health Care,Health Care Providers & Services,Health Care Facilities,-0.11,76.0
QQQ,<empty>,"104,777 M",,,,0.19,77.0
ANSS,"ANSYS, INC.","21,040 M",Information Technology,Software,Application Software,0.08,77.0
CRM,SALESFORCE INC,"177,558 M",Information Technology,Software,Application Software,0.06,77.0
ETSY,ETSY INC,"9,641 M",Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,0.04,77.0
TIP,<empty>,"13,044 M",,,,0.05,78.0
TFC,TRUIST FINANCIAL CORP,"61,178 M",Financials,Banks,Regional Banks,0.15,79.0
BGS,"B&G FOODS, INC.","1,537 M",Consumer Staples,Food Products,Packaged Foods & Meats,-0.05,79.0
SPG,"SIMON PROPERTY GROUP, INC.","33,279 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,0.09,80.0
GT,GOODYEAR TIRE & RUBBER CO,"3,452 M",Consumer Discretionary,Auto Components,Tires & Rubber,0.11,80.0
CIM,CHIMERA INVESTMENT CORPORATION,"2,276 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,-0.02,80.0
